rotation_gain_scale,max_force_n,row_origin,trace_path,surface_yaw_deg,variant,case,simulation_seed,arm,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,-15.0,combined,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,3.3325586657033037,0.0040810759282191526,4.260284927268399,4.272779828936591,0.554,55.400000000000006,3.0,3.3325586657033037,3.2863814347433578,0.5528510882040224,-3.1289104088385207,0.25,125,1876,44.18976545842217,0.0,829,1.6560000000000001,100.0,0.500499715606112,0.5092328306930824,0.500499715606112,0.5092328306930824,0.14681163533225572,0.002183278771742625,2.0,5.984317976910445,5.9794747696505866,0.313195003783447,0.241098488743563,11.79598567413369,0.7519492993052123,-0.6641754390583069,0.9046185797133133,100.0,0.5,1.0,100.0,0.28362245763336885,0.38280430363211354,1.0,0.0,0.0,5.721009991027678,4.521009991027679,0.05,100.0,98.0,0.0,12.205032888318776,12.027891674055848
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,-15.0,combined,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,2.337786181161644,0.004209903922325594,2.8411249941557797,2.9357572589115715,0.0,0.0,3.0,2.337786181161644,2.1385519561448,0.9443726805131503,-2.1303622959078234,0.25,125,126,100.0,0.0,126,0.25,100.0,0.500499715606112,0.5081487412483627,0.500499715606112,0.5081487412483627,0.14681163533225572,0.015298051284501568,13.600000000000001,5.984286635324408,5.981690795599938,0.3128383104121796,0.2972937320228134,11.045116387715614,1.133694206761023,-1.131952037066838,1.2549934750635783,100.0,0.5,1.0,100.0,0.3118227072580181,0.3379581826614199,1.0,0.0,0.0,6.568054357844398,5.368054357844398,0.05,100.0,86.4,0.0,12.067225549934857,11.910489971397583
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,-15.0,combined,modest_combined,11,online,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.103317100611353,0.00441908223531095,4.266841017156042,4.272779828936591,1.0,100.0,3.0,4.103317100611353,4.071259551766141,0.5119149248874527,-4.067689297838475,0.25,125,876,0.0,,0,0.0,100.0,0.5092328306930824,0.5092328306930824,0.5092328306930824,0.5092328306930824,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,11.79598567413369,0.3514815377281283,-0.3451895571560511,0.6351472914429264,100.0,0.5,1.0,100.0,0.24970240937982838,0.38280430363211354,1.0,0.0,0.0,6.013618070610195,4.813618070610196,0.05,100.0,100.0,0.0,12.205032888318776,12.077406267687715
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,-15.0,combined,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,1.2456755961955523,0.0026141634312033444,1.7391158951920096,2.7137591443785873,0.0,0.0,3.0,1.2456755961955523,0.8615561603749107,0.8996825403869889,-0.6890474853441921,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.5251601725319549,0.6669858417577798,0.5253313350285088,0.6669858417577798,0.14745097863200218,0.03535966843636282,77.35,7.979090635880592,7.238847543609492,0.41759333837792934,0.2926153090555105,11.787442095423348,0.7483631642584149,-0.6600430661347259,0.901796315462763,100.0,0.5,1.0,100.0,0.2988541523192875,0.41049673547318993,1.0,0.0,0.0,5.729836781044096,4.5298367810440965,0.05,100.0,24.3,0.0,12.215246965369165,12.029201782728878
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,-15.0,combined,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,1.6238612506359136,0.004755485982307422,2.549895179269115,2.7137591443785873,0.0,0.0,3.0,1.6238612506359136,1.3999209356685332,0.8228892605896446,-1.3305809264076767,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5251601725319549,0.5503157143555018,0.5253313350285088,0.5503814315727662,0.14745097863200218,0.050442518081622596,100.0,6.549704993468689,6.428401614232578,0.3423964740859849,0.3196171716063034,11.036178333448047,1.1321160853757994,-1.1302398424728934,1.254496732745885,100.0,0.5,1.0,100.0,0.3254430574146017,0.35790087403711396,1.0,0.0,0.0,6.554240442741463,5.354240442741464,0.05,100.0,0.0,0.0,12.055957203677844,11.911705423673833
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,-15.0,combined,modest_combined,11,online,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.1095537607422983,0.0020699123889698547,1.6640591842126906,1.7234128597997815,0.0,0.0,3.0,1.1095537607422983,0.6575581972818697,0.8937151476643971,-0.4389665929089569,0.25,125,876,100.0,0.0,876,1.75,100.0,0.5969784540124154,0.6669858417577798,0.597131023225758,0.6669858417577798,0.1315908543350064,0.034810196132495363,54.7,7.979090635880592,7.833318310514098,0.41759333837792934,0.33861433306828054,11.787442095423348,0.35029778348607227,-0.34333294755376503,0.634507675240532,100.0,0.5,1.0,100.0,0.2681043423383259,0.41049673547318993,1.0,0.0,0.0,6.061088734626537,4.861088734626538,0.05,100.0,48.6,0.0,12.215246965369165,12.078623261087607
2.0,6.0,executed,traces/dynamic__yaw-15__combined__s2__f6n.npz,-15.0,combined,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,3.3221749592510266,0.004084074698140117,4.253118140192208,4.267430434506562,0.552,55.2,3.0,3.3221749592510266,3.277515267518635,0.5428997430988627,-3.1184110781744825,0.25,125,1876,44.40298507462687,0.0,833,1.6640000000000001,100.0,0.5006031330720505,0.5095523328307988,0.5006031330720505,0.5095523328307988,0.15118962365118227,0.0022372999396870767,2.0,5.984317976910445,5.979483128741011,0.313195003783447,0.24109902425351493,11.80068802853364,0.7536196269540445,-0.664852602400377,0.9044058573105611,100.0,0.5,1.0,100.0,0.15043921879133895,0.20329460298644023,1.0,0.0,0.0,5.719255947884832,4.519255947884833,0.05,100.0,98.0,0.0,12.208216610384033,12.02704576973309
2.0,6.0,executed,traces/dynamic__yaw-15__combined__s2__f6n.npz,-15.0,combined,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,2.2882227920116773,0.004385745422157174,2.872636867824285,2.9842692080443047,0.0,0.0,3.0,2.2882227920116773,2.0890702668728864,0.9336749787529727,-2.078040006913498,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5006031330720505,0.5093273003886252,0.5006031330720505,0.5093273003886252,0.15118962365118227,0.017448334633149324,15.6,5.984286635324408,5.981638873826704,0.3128383104121796,0.2972918020316197,11.004715711768418,1.1662897989743766,-1.1649904465678633,1.2528596252845865,100.0,0.5,1.0,100.0,0.16334289509184388,0.2025972771677706,1.0,0.0,0.0,6.574222464855305,5.374222464855306,0.05,100.0,84.39999999999999,0.0,12.0277568812636,11.87536169353963
2.0,6.0,executed,traces/dynamic__yaw-15__combined__s2__f6n.npz,-15.0,combined,modest_combined,11,online,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.094653850282997,0.004404377398094035,4.259803077414909,4.267430434506562,1.0,100.0,3.0,4.094653850282997,4.065087867364698,0.4911728659460883,-4.06124314431398,0.25,125,876,0.0,,0,0.0,100.0,0.5095523328307988,0.5095523328307988,0.5095523328307988,0.5095523328307988,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,11.80068802853364,0.3532393823217782,-0.3465293552317685,0.63525872134028,100.0,0.5,1.0,100.0,0.13731565193565592,0.20329460298644023,1.0,0.0,0.0,6.01273355835936,4.812733558359361,0.05,100.0,100.0,0.0,12.208216610384033,12.076221880931419
2.0,8.0,executed,traces/dynamic__yaw-15__combined__s2__f8n.npz,-15.0,combined,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,1.252604728339374,0.002669317300778244,1.737268313002419,2.7588526029501015,0.0,0.0,3.0,1.252604728339374,0.8549822706435183,0.915436465487043,-0.6852124904332635,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.5259727944186199,0.666988574541031,0.5261458373478903,0.666988574541031,0.1478823889126124,0.03515404891358409,77.95,7.979090635880592,7.235521210146669,0.41759333837792934,0.2924700291389951,11.7897966032622,0.7503729237579776,-0.6607750717862316,0.901602482350227,100.0,0.5,1.0,100.0,0.1587982865547731,0.21833891081896964,1.0,0.0,0.0,5.729456496850952,4.529456496850953,0.05,100.0,23.75,0.0,12.22128863695267,12.028319925386903
