rotation_gain_scale,max_force_n,row_origin,trace_path,surface_yaw_deg,variant,case,simulation_seed,arm,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status,max_uncapped_tangential_amplitude_n,max_matched_request_difference_n
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,-15,combined,modest_combined,11,online,5250,0.5690598708578972,12.620847354384157,100.0,2.410299129857788,0.0040600997072370295,0.3987144593662021,0.0,combined_post,0.7519492993052123,combined_post,3.3325586657033037,pre_change,0.6691737824115513,recovered,True,1.0739999999999998,recovered,True,0.0,80.85714285714286,0.335838337131369,0.5092328306930824,5.984317976910445,0.2850207155117024,0.0,20.000000000000533,0.0,0.0,5.721009991027678,4.521009991027679,100.0,38.952380952380956,3.2,,yes,no,not_evaluated,6.215203446420738,0.0
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,-15,combined,modest_combined,11,online,5250,0.5679124938500035,12.620847354384157,100.0,1.470755433183397,0.0035942019694577003,0.4030021323828671,0.0,combined_post,0.7483631642584149,pre_change,1.8318041958831626,pre_change,0.6691737824115513,recovered,True,1.056000000000001,recovered,True,0.0,80.85714285714286,0.335838337131369,0.6669858417577798,7.979090635880592,0.2850207155117024,0.0,20.000000000000533,0.0,0.0,5.729836781044096,4.5298367810440965,100.0,9.257142857142856,3.2,,yes,no,not_evaluated,8.075244659261205,1.994772658970148
2.0,6.0,executed,traces/dynamic__yaw-15__combined__s2__f6n.npz,-15,combined,modest_combined,11,online,5250,0.5670668692029411,12.536857414445493,100.0,2.4211580179938768,0.0041940989330431794,0.2148112193241047,0.0,combined_post,0.7536196269540445,combined_post,3.3221749592510266,pre_change,0.3619004982670611,recovered,True,1.032,recovered,True,0.0,80.87619047619047,0.33693211694139935,0.5095523328307988,5.984317976910445,0.2865615591267634,0.0,20.0000000000004,0.0,0.0,5.719255947884832,4.519255947884833,100.0,38.93333333333333,3.1809523809523808,,yes,no,not_evaluated,6.220725253524892,0.0
2.0,8.0,executed,traces/dynamic__yaw-15__combined__s2__f8n.npz,-15,combined,modest_combined,11,online,5250,0.5659964723441623,12.536857414445493,100.0,1.499284824509961,0.0037618046192798263,0.2171669581217943,0.0,combined_post,0.7503729237579776,pre_change,1.8863186706907318,pre_change,0.3619004982670611,recovered,True,1.0139999999999993,recovered,True,0.0,80.87619047619047,0.33693211694139935,0.666988574541031,7.979090635880592,0.2865615591267634,0.0,20.0000000000004,0.0,0.0,5.729456496850952,4.529456496850953,100.0,9.047619047619047,3.1809523809523808,,yes,no,not_evaluated,8.07329925425301,1.994772658970148
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,-15,no_bias,modest_combined,11,online,5250,0.2970606496163971,12.620847354384157,100.0,2.921128898001199,0.0046464848996457635,0.3972079191892126,0.0,combined_post,0.38878682417722216,combined_post,4.201931790380261,pre_change,0.6691737824115513,recovered,True,0.0,recovered,True,0.19400000000000084,80.91428571428571,0.335838337131369,0.510447121857562,5.984317976910445,0.2999999999999947,0.0,20.000000000000533,0.0,0.0,5.462076927142343,4.262076927142344,100.0,39.77142857142857,3.1428571428571432,,yes,no,not_evaluated,6.227557530050885,0.0
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,-15,no_bias,modest_combined,11,online,5250,0.29874898039940256,12.620847354384157,100.0,1.6066989050441078,0.0038468563449827794,0.4018762969975554,0.0,combined_post,0.39102121673906054,pre_change,1.8318041958831626,pre_change,0.6691737824115513,recovered,True,0.0,recovered,True,0.0,80.43809523809524,0.335838337131369,0.6686267690517468,7.979090635880592,0.2999999999999947,0.0,20.000000000000533,0.0,0.0,5.472998224505031,4.272998224505032,100.0,15.18095238095238,3.1619047619047618,,yes,no,not_evaluated,8.097704588966526,1.994772658970148
2.0,6.0,executed,traces/dynamic__yaw-15__no_bias__s2__f6n.npz,-15,no_bias,modest_combined,11,online,5250,0.29419879303616153,12.577648319857067,100.0,2.9282746103464468,0.004760816457077532,0.21394777765960052,0.0,combined_post,0.39054717831780245,combined_post,4.1889568740724625,pre_change,0.3619004982670611,recovered,True,0.0,recovered,True,0.14400000000000013,80.91428571428571,0.33693211694139935,0.5112895011426583,5.984317976910445,0.2999999999999947,0.0,20.0000000000004,0.0,0.0,5.459903802307455,4.259903802307456,100.0,39.695238095238096,3.1428571428571432,,yes,no,not_evaluated,6.23899938301922,0.0
2.0,8.0,executed,traces/dynamic__yaw-15__no_bias__s2__f8n.npz,-15,no_bias,modest_combined,11,online,5250,0.29613472513331895,12.575124610569178,100.0,1.6326917290911074,0.004007929243040318,0.21650549816394687,0.0,combined_post,0.3934310801832273,pre_change,1.8863186706907318,pre_change,0.3619004982670611,recovered,True,0.0,recovered,True,0.0,80.43809523809524,0.33693211694139935,0.668937353209919,7.979090635880592,0.2999999999999947,0.0,20.0000000000004,0.0,0.0,5.472113496259528,4.272113496259529,100.0,15.04761904761905,3.1619047619047618,,yes,no,not_evaluated,8.101139903038266,1.994772658970148
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,0,combined,modest_combined,11,online,5250,0.5609832951171065,12.638301682485118,100.0,2.362982596951038,0.003968722035485539,0.3672228066375476,0.0,combined_post,0.7766313298039496,combined_post,3.2627450602066217,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.80000000000001,0.3394949826870767,0.5081804198166346,5.984317976910444,0.2781108001608801,0.0,20.000000000000515,0.0,0.0,5.669874138200312,4.469874138200312,100.0,38.800000000000004,3.219047619047619,,yes,no,not_evaluated,6.184554184775602,0.0
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,0,combined,modest_combined,11,online,5250,0.559801346936037,12.638301682485118,100.0,1.443706749007498,0.0035309955184781635,0.37316898573304497,0.0,combined_post,0.7738456094839845,pre_change,1.7913973979883537,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.80000000000001,0.3394949826870767,0.6657917745640765,7.979090635880593,0.2781108001608801,0.0,20.000000000000515,0.0,0.0,5.677792677799835,4.477792677799836,100.0,9.80952380952381,3.219047619047619,,yes,no,not_evaluated,8.09966318027956,1.9947726589701484
