surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,slew_reconstruction_max_error_n,slew_reconstruction_mismatch_cycles,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status
-15,combined,modest_combined,online,11,1.0,3.0,5250,0.5690598708578972,12.620847354384157,100.0,2.410299129857788,0.0040600997072370295,0.3987144593662021,0.0,combined_post,0.7519492993052123,combined_post,3.3325586657033037,pre_change,0.6691737824115513,recovered,True,1.0739999999999998,recovered,True,0.0,80.85714285714286,0.335838337131369,0.5092328306930824,5.984317976910445,False,0.2850207155117024,0.0,20.000000000000533,0.0,0.0,5.721009991027678,4.521009991027679,100.0,38.952380952380956,3.2,0.0,0.0,,yes,no,not_evaluated
-15,no_yaw_error,modest_combined,online,11,1.0,0.0,5250,0.5265019015303535,12.623508132500962,100.0,2.2808785835501295,0.004287759210901746,0.3970327936558666,0.0,combined_post,0.7215504310018368,combined_post,3.089689620221181,pre_change,0.6648614855223023,recovered,True,0.0,recovered,True,0.5060000000000002,81.14285714285714,0.3657020207555456,0.5085941267850086,5.984360762996737,False,0.2999999999999947,0.0,20.000000000000444,0.0,0.0,5.684627992760545,4.4846279927605455,100.0,39.00952380952381,2.4,0.0,0.0,,yes,no,not_evaluated
-15,no_bias,modest_combined,online,11,1.0,3.0,5250,0.2970606496163971,12.620847354384157,100.0,2.921128898001199,0.0046464848996457635,0.3972079191892126,0.0,combined_post,0.38878682417722216,combined_post,4.201931790380261,pre_change,0.6691737824115513,recovered,True,0.0,recovered,True,0.19400000000000084,80.91428571428571,0.335838337131369,0.510447121857562,5.984317976910445,False,0.2999999999999947,0.0,20.000000000000533,0.0,0.0,5.462076927142343,4.262076927142344,100.0,39.77142857142857,3.1428571428571432,0.0,0.0,,yes,no,not_evaluated
-15,constant_initial_friction,modest_combined,online,11,1.0,3.0,5250,0.5386324930188663,12.620847354384157,100.0,1.2918632754220771,0.002635788310862693,0.43835583796797395,0.0,combined_post,0.7109050110828864,pre_change,1.8318041958831626,pre_change,0.6691737824115513,recovered,True,0.0,recovered,True,0.0,81.33333333333333,0.2916318908213874,0.45,5.371603619631274,False,0.23489593085829208,0.0,20.000000000000533,0.0,0.0,6.012791908775087,4.812791908775088,100.0,0.0,1.8857142857142857,0.0,0.0,,yes,no,not_evaluated
0,combined,modest_combined,online,11,1.0,3.0,5250,0.5609832951171065,12.638301682485118,100.0,2.362982596951038,0.003968722035485539,0.3672228066375476,0.0,combined_post,0.7766313298039496,combined_post,3.2627450602066217,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.80000000000001,0.3394949826870767,0.5081804198166346,5.984317976910444,False,0.2781108001608801,0.0,20.000000000000515,0.0,0.0,5.669874138200312,4.469874138200312,100.0,38.800000000000004,3.219047619047619,0.0,0.0,,yes,no,not_evaluated
0,no_yaw_error,modest_combined,online,11,1.0,0.0,5250,0.5268326220040122,12.636179133925836,100.0,2.2223402078919214,0.004168093645321792,0.36719404098075087,0.0,combined_post,0.7520084618900237,combined_post,3.0032512859693847,pre_change,0.5573971761962359,recovered,True,0.0,recovered,True,0.4740000000000002,81.06666666666666,0.36341640291494404,0.5086947495690076,5.984360762996737,False,0.2999999999999947,0.0,20.000000000000206,0.0,0.0,5.670940391762787,4.470940391762788,100.0,38.990476190476194,2.4761904761904763,0.0,0.0,,yes,no,not_evaluated
0,no_bias,modest_combined,online,11,1.0,3.0,5250,0.2663046212149494,12.638301682485118,100.0,2.874335728471549,0.004552134616131757,0.36343296983530077,0.0,combined_post,0.38123437489181355,combined_post,4.132423983430001,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.2900000000000009,80.81904761904762,0.3394949826870767,0.5091198732339843,5.984317976910444,False,0.2999999999999947,0.0,20.000000000000515,0.0,0.0,5.404218644288477,4.204218644288478,100.0,39.714285714285715,3.2,0.0,0.0,,yes,no,not_evaluated
0,constant_initial_friction,modest_combined,online,11,1.0,3.0,5250,0.5317016163808668,12.638301682485118,100.0,1.2629988918477895,0.0026428620875428273,0.4231779307706808,0.0,combined_post,0.7382535457859911,pre_change,1.7913973979883537,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,81.27619047619048,0.2879837056832121,0.45,5.4868891715741706,False,0.22868003171103157,0.0,20.000000000000515,0.0,0.0,5.928826487041054,4.728826487041054,100.0,0.0,2.0,0.0,0.0,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,3.0,5250,0.564658816271803,12.628817270787037,100.0,2.397578763690601,0.003926510370174217,0.4033014159784949,0.0,combined_post,0.8020661430764406,combined_post,3.3183299809868836,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.11800000000000033,80.72380952380952,0.34549928419771136,0.5107687596170797,5.984317976910445,False,0.2709610696936815,0.0,20.000000000000487,0.0,0.0,5.622490524736863,4.4224905247368635,100.0,38.476190476190474,3.276190476190476,0.0,0.0,,yes,no,not_evaluated
15.0,no_yaw_error,modest_combined,online,11,1.0,0.0,5250,0.539851447656119,12.64489356024196,100.0,2.255706586341576,0.004116226525539145,0.4047935921467968,0.0,combined_post,0.7851355215748088,combined_post,3.054629969149166,pre_change,0.5117541928695818,recovered,True,0.0,recovered,True,0.6280000000000001,80.99047619047619,0.36665141378924904,0.5117364940714787,5.984360762996737,False,0.2999999999999947,0.0,20.00000000000039,0.0,0.0,5.688958738278698,4.488958738278699,100.0,38.87619047619047,2.5523809523809526,0.0,0.0,,yes,no,not_evaluated
