surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
-15.0,combined,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,3.3325586657033037,0.0040810759282191526,4.260284927268399,4.272779828936591,0.554,55.400000000000006,3.0,3.3325586657033037,3.2863814347433578,0.5528510882040224,-3.1289104088385207,0.25,125,1876,44.18976545842217,0.0,829,1.6560000000000001,100.0,0.500499715606112,0.5092328306930824,0.500499715606112,0.5092328306930824,0.14681163533225572,0.002183278771742625,2.0,5.984317976910445,5.9794747696505866,0.313195003783447,0.241098488743563,11.79598567413369,0.7519492993052123,-0.6641754390583069,0.9046185797133133,100.0,0.5,1.0,100.0,0.28362245763336885,0.38280430363211354,1.0,0.0,0.0,5.721009991027678,4.521009991027679,0.05,100.0,98.0,0.0,12.205032888318776,12.027891674055848
-15.0,combined,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.337786181161644,0.004209903922325594,2.8411249941557797,2.9357572589115715,0.0,0.0,3.0,2.337786181161644,2.1385519561448,0.9443726805131503,-2.1303622959078234,0.25,125,126,100.0,0.0,126,0.25,100.0,0.500499715606112,0.5081487412483627,0.500499715606112,0.5081487412483627,0.14681163533225572,0.015298051284501568,13.600000000000001,5.984286635324408,5.981690795599938,0.3128383104121796,0.2972937320228134,11.045116387715614,1.133694206761023,-1.131952037066838,1.2549934750635783,100.0,0.5,1.0,100.0,0.3118227072580181,0.3379581826614199,1.0,0.0,0.0,6.568054357844398,5.368054357844398,0.05,100.0,86.4,0.0,12.067225549934857,11.910489971397583
-15.0,combined,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.103317100611353,0.00441908223531095,4.266841017156042,4.272779828936591,1.0,100.0,3.0,4.103317100611353,4.071259551766141,0.5119149248874527,-4.067689297838475,0.25,125,876,0.0,,0,0.0,100.0,0.5092328306930824,0.5092328306930824,0.5092328306930824,0.5092328306930824,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,11.79598567413369,0.3514815377281283,-0.3451895571560511,0.6351472914429264,100.0,0.5,1.0,100.0,0.24970240937982838,0.38280430363211354,1.0,0.0,0.0,6.013618070610195,4.813618070610196,0.05,100.0,100.0,0.0,12.205032888318776,12.077406267687715
-15.0,no_yaw_error,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,0.0,3.0896896202211805,0.004059744575999109,3.3566559976332107,3.828805872638421,0.6555,65.55,3.0,3.0896896202211805,3.0377595626887053,0.5640911172814461,-3.034765485860828,0.25,125,1876,35.927505330490405,0.5060000000000002,496,0.99,100.0,0.4999555632183849,0.5085941267850086,0.4999555632183849,0.5085941267850086,0.23350178147985012,0.00215964089165592,1.05,5.984360762996737,5.979605128557485,2.5152118589881863e-16,8.702287927688459e-17,11.438811043995605,0.7215504310018368,-0.7181241545048054,0.9475875828731544,100.0,0.5,1.0,100.0,0.2836376052647214,0.3831355474115762,1.0,0.0,0.0,5.684627992760545,4.4846279927605455,0.05,100.0,98.95,0.0,12.168826451190279,12.018674367248346
-15.0,no_yaw_error,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,0.0,3.3119923617372584,0.00470851184672594,3.7172848427868126,3.828805872638421,1.0,100.0,3.0,3.3119923617372584,3.199387557555119,0.8562783780800671,-3.1959059139567407,0.25,125,126,0.0,,0,0.0,100.0,0.4999555632183849,0.5077862921754719,0.4999555632183849,0.5077862921754719,0.23350178147985012,0.01566145791417395,7.6,5.98432940970301,5.982434722660567,2.429026638500961e-16,1.0774093363498522e-16,11.372709166679941,0.7985876214075445,-0.7963315574055678,0.9517160536533913,100.0,0.5,1.0,100.0,0.3118514751047236,0.3492448360978483,1.0,0.0,0.0,6.483357708007552,5.283357708007553,0.05,100.0,92.4,0.0,12.126962311575088,11.94459543512782
-15.0,no_yaw_error,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,0.0,3.134503953122739,0.004083000699917958,3.3455648159229874,3.3607410221550307,0.802,80.2,3.0,3.134503953122739,3.0799026535621556,0.5825072331936094,-3.0790147372797874,0.25,125,876,20.319634703196346,0.9719999999999995,178,0.354,100.0,0.5085941267850086,0.5085941267850086,0.5085941267850086,0.5085941267850086,0.0,0.0,0.0,5.984360762996737,5.980311884307384,2.5152118589881863e-16,9.470948053145029e-17,11.438811043995605,0.6782358871603974,-0.6771493216530542,0.9477867569986607,100.0,0.5,1.0,100.0,0.25021408018883934,0.3831355474115762,1.0,0.0,0.0,6.059229874214823,4.859229874214824,0.05,100.0,100.0,0.0,12.168826451190279,12.059848374225602
-15.0,no_bias,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,4.201931790380261,0.0051245186503396664,5.2482831306565645,5.261601759492987,0.7185,71.85000000000001,3.0,4.201931790380261,4.119868009140357,0.8263887452465284,-3.9792743735479794,0.25,125,1876,29.58422174840085,0.19400000000000084,555,1.108,100.0,0.506399572162442,0.510447121857562,0.506399572162442,0.510447121857562,0.188995735199593,0.0010118874237800002,0.65,5.984317976910445,5.979603894271883,0.313195003783447,0.24110487817151174,12.572894942346338,0.38878682417722216,0.07578124542597249,0.15448245074206074,100.0,0.5,1.0,100.0,0.27886349773342484,0.3738926162863709,1.0,0.0,0.0,5.462076927142343,4.262076927142344,0.05,100.0,99.35000000000001,0.0,12.200201085252973,12.017712229568874
-15.0,no_bias,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,3.1526233798929426,0.004866718374734449,3.625093188558808,3.710263867461733,0.62,62.0,3.0,3.1526233798929426,2.895760751380982,1.246436458953705,-2.890613400953381,0.25,125,126,23.015873015873016,0.19400000000000084,29,0.056,100.0,0.506399572162442,0.5098686714866463,0.506399572162442,0.5098686714866463,0.188995735199593,0.0069381986484085,4.3999999999999995,5.984286635324408,5.982606308651533,0.3128383104121796,0.2973387019368497,11.73324344152631,0.44056232555125674,-0.43654293289613866,0.5233446787439743,100.0,0.5,1.0,100.0,0.3015657916333637,0.3233778584991177,1.0,0.0,0.0,6.3922831785191825,5.192283178519183,0.05,100.0,95.6,0.0,12.020040085588915,11.874250279248677
-15.0,no_bias,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,5.074882190203659,0.005579051077957789,5.255824575023457,5.261601759492987,1.0,100.0,3.0,5.074882190203659,4.985086763669929,0.9504415832281116,-4.980827428887617,0.25,125,876,0.0,,0,0.0,100.0,0.510447121857562,0.510447121857562,0.510447121857562,0.510447121857562,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,12.572894942346338,0.4280944052378351,0.4221725434590409,-0.13320257255576334,100.0,0.5,1.0,100.0,0.24838573219127158,0.3738926162863709,1.0,0.0,0.0,5.748786619827376,4.548786619827377,0.05,100.0,100.0,0.0,12.200201085252973,12.076418504304119
-15.0,constant_initial_friction,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.1310039776430039,0.001879858461171713,1.7470628780286295,1.7670399438714637,0.0,0.0,3.0,1.1310039776430039,0.5309422771365438,0.9986342152126363,-0.19994829866793729,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.2916318908213874,0.3817275017583189,0.2916318908213874,0.3817275017583189,0.11113054712719173,0.011092590159865719,100.0,4.60881077493527,4.035382101125345,0.23837887678486097,0.16437064979959706,11.608711785118242,0.7109050110828864,-0.6801086568649667,0.9189094654208897,100.0,0.5,1.0,100.0,0.3982787081093153,0.5230483379534908,1.0,0.0,0.0,6.3362472106416,5.136247210641601,0.05,100.0,0.0,0.0,12.195120017187065,12.026249341956763
