surface_yaw_deg,variant,window,reference_variant,delta_direction,delta_tangent_rmse_mm,delta_along_track_rmse_mm,delta_cross_track_rmse_mm,delta_tangent_velocity_error_rms_m_s,delta_amplitude_capped_pct,delta_slew_limited_pct,delta_normal_force_error_rms_n,delta_orientation_error_rms_deg,delta_minimum_reserved_torque_headroom_nm
-15,no_yaw_error,post,combined,variant_minus_combined,-0.24286904548212318,-0.24862187205465247,0.011240029077423719,-2.1331352220043363e-05,0.9500000000000028,0.0,-0.03039886830337546,1.5147631352574464e-05,-0.0363819982671334
-15,no_yaw_error,early_post,combined,variant_minus_combined,0.9742061805756146,1.0608356014103193,-0.08809430243308314,0.0004986079244003461,6.0,0.0,-0.3351065853534785,2.8767846705524125e-05,-0.08469664983684577
-15,no_yaw_error,late_post,combined,variant_minus_combined,-0.9688131474886137,-0.9913568982039851,0.0705923083061567,-0.0003360815353929923,0.0,0.0,0.3267543494322691,0.0005116708090109612,0.04561180360462824
-15,no_bias,post,combined,variant_minus_combined,0.8693731246769572,0.8334865743969995,0.273537657042506,0.0010434427221205139,1.3500000000000085,0.0,-0.3631624751279901,-0.004758959899944015,-0.2589330638853351
-15,no_bias,early_post,combined,variant_minus_combined,0.8148371987312988,0.7572087952361821,0.30206377844055465,0.0006568144524088555,9.199999999999989,0.0,-0.6931318812097662,-0.010256915624654361,-0.17577117932521524
-15,no_bias,late_post,combined,variant_minus_combined,0.971565089592306,0.9138272119037882,0.43852665834065885,0.0011599688426468394,0.0,0.0,0.0766128675097068,-0.0013166771885567974,-0.2648314507828191
-15,constant_initial_friction,post,combined,variant_minus_combined,-2.2015546880603,-2.755439157606814,0.4457831270086139,-0.0022012174670474395,-98.0,0.0,-0.041044288222325864,0.11465625047594646,0.6152372196139222
-15,constant_initial_friction,early_post,combined,variant_minus_combined,-2.0110374127654946,-1.8942818175054834,-0.7273545775412337,-0.002587936602124089,-86.4,0.0,-0.1625639239922695,0.11151527090531294,0.07959808622021125
-15,constant_initial_friction,late_post,combined,variant_minus_combined,-2.9902524528201617,-3.5466378601552275,0.4697596601221784,-0.0023586801639114787,-100.0,0.0,0.1527298210143443,0.1251581936031422,0.5360983670228059
0,no_yaw_error,post,combined,variant_minus_combined,-0.25949377423723696,-0.25658680869197026,-0.03977544334514038,-4.444736616431022e-05,1.1500000000000057,0.0,-0.024622867913925872,0.0025131875551669958,0.0010662535624756941
0,no_yaw_error,early_post,combined,variant_minus_combined,0.9598296317890931,1.0453209654725657,-0.08196813868928521,0.00039256571411703297,5.6000000000000085,0.0,-0.3335502213712742,0.0026190678380125787,-0.07356922893015305
0,no_yaw_error,late_post,combined,variant_minus_combined,-0.9865116098534985,-1.0014668660007788,0.009865910717027915,-0.00034722139748866523,0.0,0.0,0.3250663849105181,0.005325763112478954,0.055523051063797624
0,no_bias,post,combined,variant_minus_combined,0.869678923223379,0.8344373365269937,0.26102462730836407,0.0010404457131346452,1.7500000000000142,0.0,-0.395396954912136,-0.01003552824187326,-0.26565549391183474
0,no_bias,early_post,combined,variant_minus_combined,0.8158934525953083,0.7557387285220942,0.308003453165538,0.0006610091237771194,10.000000000000014,0.0,-0.6903863196953519,-0.011769094211796338,-0.15390727211214816
0,no_bias,late_post,combined,variant_minus_combined,0.9749076504547887,0.9156353400498491,0.4260572835649469,0.00116064028787281,0.0,0.0,0.03451822131435689,-0.008960596263539233,-0.2724156525246908
0,constant_initial_friction,post,combined,variant_minus_combined,-2.171402555345839,-2.636668511708857,0.3239169736777858,-0.002154146649813434,-96.89999999999999,0.0,-0.03837778401795844,0.13699498839966073,0.5862943874862836
0,constant_initial_friction,early_post,combined,variant_minus_combined,-2.2432952860325264,-2.0846456233725803,-0.8467678064816718,-0.002806684284356222,-82.39999999999999,0.0,-0.16401902486431108,0.10195828192147216,-0.1302678057499298
0,constant_initial_friction,late_post,combined,variant_minus_combined,-2.969370244780399,-3.393711979870627,0.3093657772291659,-0.002228048697629532,-100.0,0.0,0.14786441705720454,0.16441145173823374,0.5792190531094077
15,no_yaw_error,post,combined,variant_minus_combined,-0.2637000118377175,-0.24747384089077018,-0.10871098588711692,-5.7918147420659566e-05,1.5500000000000114,0.0,-0.016930621501631826,0.004059178991237922,0.0664682135418353
15,no_yaw_error,early_post,combined,variant_minus_combined,0.9627549537119608,1.0282289175574015,-0.07445436847849518,0.00034057295263585554,2.799999999999997,0.0,-0.3355936335181977,0.004231838098511687,-0.057756442800673824
15,no_yaw_error,late_post,combined,variant_minus_combined,-1.009834811261126,-1.00873372644363,-0.09170195283942773,-0.0003577463640180938,0.0,0.0,0.32000851619452964,0.0071317550318403256,0.0664682135418353
15,no_bias,post,combined,variant_minus_combined,0.8655977530720276,0.8329794948101488,0.24402348568119636,0.0010219003385496944,2.0500000000000114,0.0,-0.41856694969862995,-0.009610936004960213,-0.2698977561114111
15,no_bias,early_post,combined,variant_minus_combined,0.8117870359597248,0.7481829915014861,0.31703884116495007,0.0006708505888123797,7.6000000000000085,0.0,-0.6839085819545059,-0.010979240960937275,-0.12025051193473857
15,no_bias,late_post,combined,variant_minus_combined,0.9718304981655335,0.9139590534870763,0.40019679529753294,0.0011559051806537173,0.0,0.0,-0.00757569331708402,-0.009464230776037863,-0.2698977561114111
15,constant_initial_friction,post,combined,variant_minus_combined,-2.197201789478931,-2.6225254524223645,0.2638192536809918,-0.002142928080392661,-95.6,0.0,-0.033701135259833315,0.11945334088494158,0.6380833109756328
15,constant_initial_friction,early_post,combined,variant_minus_combined,-2.776756771072018,-2.664415588990501,-0.870707861675119,-0.0029591310133917506,-85.2,0.0,-0.1592783261017121,0.08553817597968605,-0.345288001942337
15,constant_initial_friction,late_post,combined,variant_minus_combined,-2.958379750306939,-3.287127409580792,0.1927556392050893,-0.0020313547472930057,-100.0,0.0,0.14209641860365152,0.15132712679764487,0.6380833109756328
