surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status
-15,combined,modest_combined,online,11,1.0,pre_change,1250,0.30448697043844714,12.494949269156686,100.0,1.8318041958831626,0.00423096209962963,0.6691737824115513,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
-15,combined,modest_combined,online,11,1.0,combined_transition,2000,0.47610769572101863,12.316739279703095,100.0,1.4307021292073765,0.003927880391973515,0.2387300460600033,0.0,100.0,4.25,8.4,,yes,no,not_evaluated
-15,combined,modest_combined,online,11,1.0,combined_post,2000,0.7519492993052123,11.79598567413369,100.0,3.3325586657033037,0.0040810759282191526,0.28362245763336885,0.0,100.0,98.0,0.0,,yes,no,not_evaluated
-15,no_yaw_error,modest_combined,online,11,1.0,pre_change,1250,0.23409707188705614,12.419541601419185,100.0,1.396393460434187,0.004063880102128494,0.6648614855223023,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
-15,no_yaw_error,modest_combined,online,11,1.0,combined_transition,2000,0.4156624092118926,12.283102306035524,100.0,1.7004234874992805,0.004632151828023817,0.23888530730895727,0.0,100.0,3.45,6.3,,yes,no,not_evaluated
-15,no_yaw_error,modest_combined,online,11,1.0,combined_post,2000,0.7215504310018368,11.438811043995605,100.0,3.089689620221181,0.004059744575999109,0.2836376052647214,0.0,100.0,98.95,0.0,,yes,no,not_evaluated
-15,no_bias,modest_combined,online,11,1.0,pre_change,1250,0.30448697043844714,12.494949269156686,100.0,1.8318041958831626,0.00423096209962963,0.6691737824115513,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
-15,no_bias,modest_combined,online,11,1.0,combined_transition,2000,0.15014263530740998,12.316739279703095,100.0,1.6265567767968387,0.0043845685043030986,0.23774203302088642,0.0,100.0,5.050000000000001,8.25,,yes,no,not_evaluated
-15,no_bias,modest_combined,online,11,1.0,combined_post,2000,0.38878682417722216,12.572894942346338,100.0,4.201931790380261,0.0051245186503396664,0.27886349773342484,0.0,100.0,99.35000000000001,0.0,,yes,no,not_evaluated
-15,constant_initial_friction,modest_combined,online,11,1.0,pre_change,1250,0.30448697043844714,12.494949269156686,100.0,1.8318041958831626,0.00423096209962963,0.6691737824115513,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
