surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,max_force_n,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,slew_reconstruction_max_error_n,slew_reconstruction_mismatch_cycles,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status,max_uncapped_tangential_amplitude_n,max_matched_request_difference_n
-15,combined,modest_combined,online,11,1.0,6.0,3.0,5250,0.5690598708578972,12.620847354384157,100.0,2.410299129857788,0.0040600997072370295,0.3987144593662021,0.0,combined_post,0.7519492993052123,combined_post,3.3325586657033037,pre_change,0.6691737824115513,recovered,True,1.0739999999999998,recovered,True,0.0,80.85714285714286,0.335838337131369,0.5092328306930824,5.984317976910445,0.2850207155117024,0.0,20.000000000000533,0.0,0.0,5.721009991027678,4.521009991027679,100.0,38.952380952380956,3.2,0.0,0.0,,yes,no,not_evaluated,6.215203446420738,0.0
-15,combined,modest_combined,online,11,1.0,8.0,3.0,5250,0.5679124938500035,12.620847354384157,100.0,1.470755433183397,0.0035942019694577003,0.4030021323828671,0.0,combined_post,0.7483631642584149,pre_change,1.8318041958831626,pre_change,0.6691737824115513,recovered,True,1.056000000000001,recovered,True,0.0,80.85714285714286,0.335838337131369,0.6669858417577798,7.979090635880592,0.2850207155117024,0.0,20.000000000000533,0.0,0.0,5.729836781044096,4.5298367810440965,100.0,9.257142857142856,3.2,0.0,0.0,,yes,no,not_evaluated,8.075244659261205,1.994772658970148
-15,no_bias,modest_combined,online,11,1.0,6.0,3.0,5250,0.2970606496163971,12.620847354384157,100.0,2.921128898001199,0.0046464848996457635,0.3972079191892126,0.0,combined_post,0.38878682417722216,combined_post,4.201931790380261,pre_change,0.6691737824115513,recovered,True,0.0,recovered,True,0.19400000000000084,80.91428571428571,0.335838337131369,0.510447121857562,5.984317976910445,0.2999999999999947,0.0,20.000000000000533,0.0,0.0,5.462076927142343,4.262076927142344,100.0,39.77142857142857,3.1428571428571432,0.0,0.0,,yes,no,not_evaluated,6.227557530050885,0.0
-15,no_bias,modest_combined,online,11,1.0,8.0,3.0,5250,0.29874898039940256,12.620847354384157,100.0,1.6066989050441078,0.0038468563449827794,0.4018762969975554,0.0,combined_post,0.39102121673906054,pre_change,1.8318041958831626,pre_change,0.6691737824115513,recovered,True,0.0,recovered,True,0.0,80.43809523809524,0.335838337131369,0.6686267690517468,7.979090635880592,0.2999999999999947,0.0,20.000000000000533,0.0,0.0,5.472998224505031,4.272998224505032,100.0,15.18095238095238,3.1619047619047618,0.0,0.0,,yes,no,not_evaluated,8.097704588966526,1.994772658970148
0,combined,modest_combined,online,11,1.0,6.0,3.0,5250,0.5609832951171065,12.638301682485118,100.0,2.362982596951038,0.003968722035485539,0.3672228066375476,0.0,combined_post,0.7766313298039496,combined_post,3.2627450602066217,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.80000000000001,0.3394949826870767,0.5081804198166346,5.984317976910444,0.2781108001608801,0.0,20.000000000000515,0.0,0.0,5.669874138200312,4.469874138200312,100.0,38.800000000000004,3.219047619047619,0.0,0.0,,yes,no,not_evaluated,6.184554184775602,0.0
0,combined,modest_combined,online,11,1.0,8.0,3.0,5250,0.559801346936037,12.638301682485118,100.0,1.443706749007498,0.0035309955184781635,0.37316898573304497,0.0,combined_post,0.7738456094839845,pre_change,1.7913973979883537,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.80000000000001,0.3394949826870767,0.6657917745640765,7.979090635880593,0.2781108001608801,0.0,20.000000000000515,0.0,0.0,5.677792677799835,4.477792677799836,100.0,9.80952380952381,3.219047619047619,0.0,0.0,,yes,no,not_evaluated,8.09966318027956,1.9947726589701484
0,no_bias,modest_combined,online,11,1.0,6.0,3.0,5250,0.2663046212149494,12.638301682485118,100.0,2.874335728471549,0.004552134616131757,0.36343296983530077,0.0,combined_post,0.38123437489181355,combined_post,4.132423983430001,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.2900000000000009,80.81904761904762,0.3394949826870767,0.5091198732339843,5.984317976910444,0.2999999999999947,0.0,20.000000000000515,0.0,0.0,5.404218644288477,4.204218644288478,100.0,39.714285714285715,3.2,0.0,0.0,,yes,no,not_evaluated,6.195809898707211,0.0
0,no_bias,modest_combined,online,11,1.0,8.0,3.0,5250,0.26803674786227105,12.638301682485118,100.0,1.574482519061554,0.0037754416218088336,0.3698456516981714,0.0,combined_post,0.3842924168547476,pre_change,1.7913973979883537,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.34285714285714,0.3394949826870767,0.6682856911912917,7.979090635880593,0.2999999999999947,0.0,20.000000000000515,0.0,0.0,5.415192406781843,4.215192406781844,100.0,15.161904761904763,3.219047619047619,0.0,0.0,,yes,no,not_evaluated,8.13362830248631,1.9947726589701484
15.0,combined,modest_combined,online,11,1.0,6.0,3.0,5250,0.564658816271803,12.628817270787037,100.0,2.397578763690601,0.003926510370174217,0.4033014159784949,0.0,combined_post,0.8020661430764406,combined_post,3.3183299809868836,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.11800000000000033,80.72380952380952,0.34549928419771136,0.5107687596170797,5.984317976910445,0.2709610696936815,0.0,20.000000000000487,0.0,0.0,5.622490524736863,4.4224905247368635,100.0,38.476190476190474,3.276190476190476,0.0,0.0,,yes,no,not_evaluated,6.245332585360854,0.0
15.0,combined,modest_combined,online,11,1.0,8.0,3.0,5250,0.5637574089782442,12.628817270787037,100.0,1.4622182865638889,0.0034824973386839435,0.41185715949624047,0.0,combined_post,0.8005969789974078,pre_change,1.7972329659155355,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.0,80.72380952380952,0.34549928419771136,0.6671152918259303,7.979090635880593,0.2709610696936815,0.0,20.000000000000487,0.0,0.0,5.641899403411826,4.441899403411827,100.0,11.161904761904761,3.276190476190476,0.0,0.0,,yes,no,not_evaluated,8.152232087500304,1.994772658970148
