surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,max_force_n,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
-15.0,combined,modest_combined,online,11,1.0,6.0,post,8.0,12.0,0.002,2000,2000,0,3.0,3.3325586657033037,0.0040810759282191526,4.260284927268399,4.272779828936591,0.554,55.400000000000006,3.0,3.3325586657033037,3.2863814347433578,0.5528510882040224,-3.1289104088385207,0.25,125,1876,44.18976545842217,0.0,829,1.6560000000000001,100.0,0.500499715606112,0.5092328306930824,0.500499715606112,0.5092328306930824,0.14681163533225572,0.002183278771742625,2.0,5.984317976910445,5.9794747696505866,0.313195003783447,0.241098488743563,11.79598567413369,0.7519492993052123,-0.6641754390583069,0.9046185797133133,100.0,0.5,1.0,100.0,0.28362245763336885,0.38280430363211354,1.0,0.0,0.0,5.721009991027678,4.521009991027679,0.05,100.0,98.0,0.0,12.205032888318776,12.027891674055848
-15.0,combined,modest_combined,online,11,1.0,6.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.337786181161644,0.004209903922325594,2.8411249941557797,2.9357572589115715,0.0,0.0,3.0,2.337786181161644,2.1385519561448,0.9443726805131503,-2.1303622959078234,0.25,125,126,100.0,0.0,126,0.25,100.0,0.500499715606112,0.5081487412483627,0.500499715606112,0.5081487412483627,0.14681163533225572,0.015298051284501568,13.600000000000001,5.984286635324408,5.981690795599938,0.3128383104121796,0.2972937320228134,11.045116387715614,1.133694206761023,-1.131952037066838,1.2549934750635783,100.0,0.5,1.0,100.0,0.3118227072580181,0.3379581826614199,1.0,0.0,0.0,6.568054357844398,5.368054357844398,0.05,100.0,86.4,0.0,12.067225549934857,11.910489971397583
-15.0,combined,modest_combined,online,11,1.0,6.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.103317100611353,0.00441908223531095,4.266841017156042,4.272779828936591,1.0,100.0,3.0,4.103317100611353,4.071259551766141,0.5119149248874527,-4.067689297838475,0.25,125,876,0.0,,0,0.0,100.0,0.5092328306930824,0.5092328306930824,0.5092328306930824,0.5092328306930824,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,11.79598567413369,0.3514815377281283,-0.3451895571560511,0.6351472914429264,100.0,0.5,1.0,100.0,0.24970240937982838,0.38280430363211354,1.0,0.0,0.0,6.013618070610195,4.813618070610196,0.05,100.0,100.0,0.0,12.205032888318776,12.077406267687715
-15.0,combined,modest_combined,online,11,1.0,8.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.2456755961955523,0.0026141634312033444,1.7391158951920096,2.7137591443785873,0.0,0.0,3.0,1.2456755961955523,0.8615561603749107,0.8996825403869889,-0.6890474853441921,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.5251601725319549,0.6669858417577798,0.5253313350285088,0.6669858417577798,0.14745097863200218,0.03535966843636282,77.35,7.979090635880592,7.238847543609492,0.41759333837792934,0.2926153090555105,11.787442095423348,0.7483631642584149,-0.6600430661347259,0.901796315462763,100.0,0.5,1.0,100.0,0.2988541523192875,0.41049673547318993,1.0,0.0,0.0,5.729836781044096,4.5298367810440965,0.05,100.0,24.3,0.0,12.215246965369165,12.029201782728878
-15.0,combined,modest_combined,online,11,1.0,8.0,early_post,8.0,8.5,0.002,250,250,0,3.0,1.6238612506359136,0.004755485982307422,2.549895179269115,2.7137591443785873,0.0,0.0,3.0,1.6238612506359136,1.3999209356685332,0.8228892605896446,-1.3305809264076767,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5251601725319549,0.5503157143555018,0.5253313350285088,0.5503814315727662,0.14745097863200218,0.050442518081622596,100.0,6.549704993468689,6.428401614232578,0.3423964740859849,0.3196171716063034,11.036178333448047,1.1321160853757994,-1.1302398424728934,1.254496732745885,100.0,0.5,1.0,100.0,0.3254430574146017,0.35790087403711396,1.0,0.0,0.0,6.554240442741463,5.354240442741464,0.05,100.0,0.0,0.0,12.055957203677844,11.911705423673833
-15.0,combined,modest_combined,online,11,1.0,8.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.1095537607422983,0.0020699123889698547,1.6640591842126906,1.7234128597997815,0.0,0.0,3.0,1.1095537607422983,0.6575581972818697,0.8937151476643971,-0.4389665929089569,0.25,125,876,100.0,0.0,876,1.75,100.0,0.5969784540124154,0.6669858417577798,0.597131023225758,0.6669858417577798,0.1315908543350064,0.034810196132495363,54.7,7.979090635880592,7.833318310514098,0.41759333837792934,0.33861433306828054,11.787442095423348,0.35029778348607227,-0.34333294755376503,0.634507675240532,100.0,0.5,1.0,100.0,0.2681043423383259,0.41049673547318993,1.0,0.0,0.0,6.061088734626537,4.861088734626538,0.05,100.0,48.6,0.0,12.215246965369165,12.078623261087607
-15.0,no_bias,modest_combined,online,11,1.0,6.0,post,8.0,12.0,0.002,2000,2000,0,3.0,4.201931790380261,0.0051245186503396664,5.2482831306565645,5.261601759492987,0.7185,71.85000000000001,3.0,4.201931790380261,4.119868009140357,0.8263887452465284,-3.9792743735479794,0.25,125,1876,29.58422174840085,0.19400000000000084,555,1.108,100.0,0.506399572162442,0.510447121857562,0.506399572162442,0.510447121857562,0.188995735199593,0.0010118874237800002,0.65,5.984317976910445,5.979603894271883,0.313195003783447,0.24110487817151174,12.572894942346338,0.38878682417722216,0.07578124542597249,0.15448245074206074,100.0,0.5,1.0,100.0,0.27886349773342484,0.3738926162863709,1.0,0.0,0.0,5.462076927142343,4.262076927142344,0.05,100.0,99.35000000000001,0.0,12.200201085252973,12.017712229568874
-15.0,no_bias,modest_combined,online,11,1.0,6.0,early_post,8.0,8.5,0.002,250,250,0,3.0,3.1526233798929426,0.004866718374734449,3.625093188558808,3.710263867461733,0.62,62.0,3.0,3.1526233798929426,2.895760751380982,1.246436458953705,-2.890613400953381,0.25,125,126,23.015873015873016,0.19400000000000084,29,0.056,100.0,0.506399572162442,0.5098686714866463,0.506399572162442,0.5098686714866463,0.188995735199593,0.0069381986484085,4.3999999999999995,5.984286635324408,5.982606308651533,0.3128383104121796,0.2973387019368497,11.73324344152631,0.44056232555125674,-0.43654293289613866,0.5233446787439743,100.0,0.5,1.0,100.0,0.3015657916333637,0.3233778584991177,1.0,0.0,0.0,6.3922831785191825,5.192283178519183,0.05,100.0,95.6,0.0,12.020040085588915,11.874250279248677
-15.0,no_bias,modest_combined,online,11,1.0,6.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,5.074882190203659,0.005579051077957789,5.255824575023457,5.261601759492987,1.0,100.0,3.0,5.074882190203659,4.985086763669929,0.9504415832281116,-4.980827428887617,0.25,125,876,0.0,,0,0.0,100.0,0.510447121857562,0.510447121857562,0.510447121857562,0.510447121857562,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,12.572894942346338,0.4280944052378351,0.4221725434590409,-0.13320257255576334,100.0,0.5,1.0,100.0,0.24838573219127158,0.3738926162863709,1.0,0.0,0.0,5.748786619827376,4.548786619827377,0.05,100.0,100.0,0.0,12.200201085252973,12.076418504304119
-15.0,no_bias,modest_combined,online,11,1.0,8.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.4463590278541294,0.002708795055028982,1.9266765247454356,3.2359284534344908,0.008,0.8,3.0,1.4463590278541294,1.187090176608737,0.8262997942963436,-1.1315207732045156,0.25,125,1876,100.0,0.0,1876,3.75,98.75,0.5447574137372232,0.6686267690517468,0.5449815074840038,0.6686267690517468,0.17263409414791653,0.0309673388286309,58.9,7.979090635880592,7.469960476012217,0.41759333837792934,0.30081280474203254,12.572345512548049,0.39102121673906054,0.08328034016540616,0.14899247795066878,100.0,0.5,1.0,100.0,0.29533937659430065,0.3960507931820286,1.0,0.0,0.0,5.472998224505031,4.272998224505032,0.05,100.0,39.85,0.05,12.213248664498362,12.019721351516916
-15.0,no_bias,modest_combined,online,11,1.0,8.0,early_post,8.0,8.5,0.002,250,250,0,3.0,1.9601065588580935,0.0054392234951169734,3.0414464824182317,3.2359284534344908,0.064,6.4,3.0,1.9601065588580935,1.6759530905370377,1.0164639493842704,-1.5947484250029424,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5447574137372232,0.5779589458388579,0.5449815074840038,0.5780463269930312,0.17263409414791653,0.06657782651161592,100.0,6.86224833225293,6.696203969982619,0.3587351851127409,0.3329859823448079,11.728833518880814,0.43865977630471664,-0.43388572471575754,0.5235969968690176,100.0,0.5,1.0,100.0,0.32053035287677634,0.3548562371045641,1.0,0.0,0.0,6.3694179871135095,5.16941798711351,0.05,100.0,0.0,0.0,12.01817662576569,11.877159805554102
-15.0,no_bias,modest_combined,online,11,1.0,8.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.3882639559864014,0.0016915283970761498,1.7402780496642019,1.7951854061974175,0.0,0.0,3.0,1.3882639559864014,1.2054104578934812,0.6886671470979583,-1.197405098076054,0.25,125,876,100.0,0.0,876,1.75,97.5,0.6324491654755274,0.6686267690517468,0.6326129580620841,0.6686267690517468,0.14036469085176861,0.018088801788109676,17.8,7.979090635880592,7.946336871646392,0.41759333837792934,0.34255911666482264,12.572345512548049,0.4330566347658261,0.42679438346584714,-0.13637392661812386,100.0,0.5,1.0,100.0,0.26502128060425684,0.3960507931820286,1.0,0.0,0.0,5.8201243814128105,4.620124381412811,0.05,100.0,79.7,0.1,12.213248664498362,12.077868990248565
