surface_yaw_deg,variant,window,max_force_n,reference_max_force_n,delta_direction,delta_tangent_rmse_mm,delta_along_track_rmse_mm,delta_cross_track_rmse_mm,delta_tangent_velocity_error_rms_m_s,delta_amplitude_capped_pct,delta_slew_limited_pct,delta_normal_force_error_rms_n,delta_orientation_error_rms_deg,delta_minimum_reserved_torque_headroom_nm
-15,combined,post,8.0,6.0,budget_8n_minus_6n,-2.0868830695077514,-2.4248252743684473,0.3468314521829665,-0.0014669124970158082,-73.7,0.0,-0.0035861350467973896,0.015231694685918673,0.008826790016417618
-15,combined,early_post,8.0,6.0,budget_8n_minus_6n,-0.7139249305257303,-0.7386310204762667,-0.12148341992350564,0.0005455820599818287,-86.4,0.0,-0.0015781213852235076,0.013620350156583638,-0.013813915102934615
-15,combined,late_post,8.0,6.0,budget_8n_minus_6n,-2.993763339869054,-3.413701354484271,0.38180022277694436,-0.002349169846341095,-51.4,0.0,-0.0011837542420560232,0.01840193295849754,0.047470664016342035
-15,no_bias,post,8.0,6.0,budget_8n_minus_6n,-2.7555727625261315,-2.9327778325316203,-8.895095018479626e-05,-0.0024157235953106843,-59.50000000000001,0.05,0.002234392561838383,0.016475878860875814,0.010921297362687987
-15,no_bias,early_post,8.0,6.0,budget_8n_minus_6n,-1.1925168210348491,-1.2198076608439443,-0.2299725095694345,0.0005725051203825243,-95.6,0.0,-0.0019025492465400973,0.018964561243412614,-0.022865191405673002
-15,no_bias,late_post,8.0,6.0,budget_8n_minus_6n,-3.6866182342172573,-3.779676305776448,-0.2617744361301533,-0.0038875226808816393,-20.299999999999997,0.1,0.0049622295279910245,0.016635548412985257,0.07133776158543448
0,combined,post,8.0,6.0,budget_8n_minus_6n,-2.0394729076222218,-2.3249176748658824,0.24154579220897543,-0.0013980830759071747,-71.14999999999999,0.0,-0.002785720319965046,0.01718888253374634,0.007918539599523378
0,combined,early_post,8.0,6.0,budget_8n_minus_6n,-0.8546997740486588,-0.8762544796750957,-0.16040215416959236,0.0004729261831722918,-82.39999999999999,0.0,-0.0012711916565171233,0.018532800515828285,-0.013943954085353205
0,combined,late_post,8.0,6.0,budget_8n_minus_6n,-2.9697931485516644,-3.290051179791395,0.2291008450633143,-0.002209845494109386,-48.5,0.0,-0.0043139495685453055,0.02283269460895998,0.027358823203616822
0,no_bias,post,8.0,6.0,budget_8n_minus_6n,-2.721388252684185,-2.8734696517956753,-0.07471334378711925,-0.0023497518735834267,-58.85,0.05,0.0030580419629340216,0.01831680082081355,0.010973762493366124
0,no_bias,early_post,8.0,6.0,budget_8n_minus_6n,-1.3324938225521454,-1.356004309490421,-0.27127428474758175,0.0004459698174587067,-92.4,0.0,0.002472953282521395,0.02582047336312926,-0.023073107122896452
0,no_bias,late_post,8.0,6.0,budget_8n_minus_6n,-3.6941438940738065,-3.7445086644628063,-0.3837577874820367,-0.003739888367807134,-20.39999999999999,0.1,0.006093642137357247,0.019079159869168638,0.03965414530501388
15,combined,post,8.0,6.0,budget_8n_minus_6n,-2.054299676203956,-2.302173356474667,0.17052101115898988,-0.0013609081121040922,-66.3,0.0,-0.0014691640790328586,0.01945514501689688,0.019408878674963326
15,combined,early_post,8.0,6.0,budget_8n_minus_6n,-1.1052092036905257,-1.1064631068806283,-0.21672579965012473,0.0004984022699965323,-85.2,0.0,0.0007095538010777336,0.030920806020077296,-0.017983430969230163
15,combined,late_post,8.0,6.0,budget_8n_minus_6n,-2.9887941630141346,-3.2244148089847346,0.0898744092416367,-0.0020733943124290476,-41.400000000000006,0.0,-0.005009624418991443,0.02561663881891918,0.019408878674963326
15,no_bias,post,8.0,6.0,budget_8n_minus_6n,-2.7170938258722552,-2.8530313948013966,-0.11098618141513805,-0.002303516265368326,-58.00000000000001,0.05,0.004666157173698171,0.02033295288882675,0.02257827324446371
15,no_bias,early_post,8.0,6.0,budget_8n_minus_6n,-1.577038337642192,-1.5753451069302529,-0.33169266272103526,0.00043162602779483854,-92.80000000000001,0.0,0.009237891058348657,0.0405439706517311,-0.027546559426150807
15,no_bias,late_post,8.0,6.0,budget_8n_minus_6n,-3.679635174861504,-3.6992942099601196,-0.46460979141588854,-0.0036154669809628764,-20.700000000000003,0.1,0.007522497434890252,0.02021482753351994,0.02257827324446371
