surface_yaw_deg,scale,case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
-15,1,stop_hold_reverse,baseline,11,11,0.0,5250,0.135322441349862,12.624059704727843,100.0,10.576936762201008,0.014866897932556024,0.3643131950279609,0.0,forward,0.1990931449476366,forward,11.828995061078928,forward,0.5321491458114681,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.7320821919327045,4.532082191932705,0.0,0.0,-0.006995497972703407,-0.010359159440026189,,yes,,yes
-15,1,stop_hold_reverse,friction,11,11,0.0,5250,0.1423179393225654,12.624059704727921,100.0,1.519303003113042,0.0028649009456868605,0.3746723544679871,0.0,forward,0.20964051008272924,forward,1.8855354126456911,forward,0.5567667630742771,recovered,True,0.0,recovered,True,0.0,0.0,0.45,0.45,5.555088706099409,False,0.0,0.0,68.92096769950422,0.0,0.0,5.761221852188465,4.561221852188465,0.006995497972703407,0.010359159440026189,0.0,0.0,,yes,,yes
-15,1,stop_hold_reverse,online,11,11,0.0,5250,0.14492247756270604,12.624059704727921,100.0,1.0605872585232237,0.002664552016939275,0.3830873751793426,0.0,forward,0.2155270171262941,forward,1.3691854242791603,forward,0.5696777495200783,recovered,True,0.0,recovered,True,0.0,80.3047619047619,0.45,0.5074648953358367,5.984360762996737,False,0.26814779529882316,0.0,20.000000000000327,0.0,0.0,5.760474712932158,4.560474712932159,0.009600036212844054,0.018774180151381714,0.002604538240140647,0.008415020711355525,,yes,,yes
-15,1,modest_combined,baseline,11,11,3.0,5250,0.5680694916280491,12.6254177223544,100.0,10.725971786524015,0.014546537689762922,0.3834206846462504,0.0,combined_post,0.7741556772421748,combined_post,13.98006060251651,pre_change,0.6226698938908359,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.68308059118749,4.483080591187491,0.0,0.0,-0.002834139234686339,-0.012176688548125536,,yes,,yes
-15,1,modest_combined,friction,11,11,3.0,5250,0.5709036308627354,12.620847354384157,100.0,3.2881280865565428,0.004409594156736606,0.39559737319437593,0.0,combined_post,0.7544253345032275,combined_post,4.437505797520181,pre_change,0.6680773939448302,recovered,True,1.0860000000000003,not_recovered,False,,0.0,0.45,0.45,5.579242843067383,False,0.0,0.0,68.85885115560582,0.0,0.0,5.71999889492241,4.519998894922411,0.002834139234686339,0.012176688548125536,0.0,0.0,,yes,,yes
-15,1,modest_combined,online,11,11,3.0,5250,0.5690598708578972,12.620847354384157,100.0,2.410299129857788,0.0040600997072370295,0.3987144593662021,0.0,combined_post,0.7519492993052123,combined_post,3.3325586657033037,pre_change,0.6691737824115513,recovered,True,1.0739999999999998,recovered,True,0.0,80.85714285714286,0.335838337131369,0.5092328306930824,5.984317976910445,False,0.2850207155117024,0.0,20.000000000000533,0.0,0.0,5.721009991027678,4.521009991027679,0.0009903792298481262,0.015293774719951692,-0.001843760004838213,0.0031170861718261555,,yes,,yes
0,1,stop_hold_reverse,baseline,11,11,0.0,5250,0.11674470466709144,12.636585788580819,100.0,10.546675564926803,0.014810338268000559,0.3457847372170621,0.0,forward,0.16170201121175692,forward,11.753903808698805,forward,0.4253331943743333,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.7079666730511125,4.507966673051113,0.0,0.0,-0.00226980036107155,-0.006073309298446239,,yes,,yes
0,1,stop_hold_reverse,friction,11,11,0.0,5250,0.11901450502816299,12.636585788580819,100.0,1.4569876979973149,0.002756565170278213,0.35185804651550834,0.0,forward,0.16228244396811342,forward,1.8043320344220601,forward,0.45015459659636103,recovered,True,0.0,recovered,True,0.0,0.0,0.45,0.45,5.556005922066705,False,0.0,0.0,69.55484995265032,0.0,0.0,5.658486269055166,4.458486269055166,0.00226980036107155,0.006073309298446239,0.0,0.0,,yes,,yes
0,1,stop_hold_reverse,online,11,11,0.0,5250,0.11874795566893646,12.636585788580819,100.0,1.013608788411112,0.0025582904867281746,0.3601193490754559,0.0,forward,0.1618314716815358,forward,1.282849763494329,forward,0.46385543769146115,recovered,True,0.0,recovered,True,0.0,80.24761904761904,0.45,0.5048837967580581,5.984360762996737,False,0.25632507514730674,0.0,20.00000000000022,0.0,0.0,5.646844352786589,4.44684435278659,0.0020032510018450217,0.014334611858393798,-0.00026654935922652834,0.008261302559947559,,yes,,yes
0,1,modest_combined,baseline,11,11,3.0,5250,0.5615298379176829,12.641228745430913,100.0,10.70008815755326,0.014490145224014532,0.3563663226894388,0.0,combined_post,0.7922130285826997,combined_post,13.929899156306526,pre_change,0.5245346935979345,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.643863092277261,4.443863092277262,0.0,0.0,-0.001828155539304377,-0.007362267370498166,,yes,,yes
