case,surface_yaw_deg,simulation_seed,arm,phase,from_scale,to_scale,delta_force_rmse_n,delta_peak_force_n,delta_contact_ratio_pct,delta_tangent_rmse_mm,delta_tangent_velocity_error_rms_m_s,delta_orientation_rmse_deg,delta_saturation_pct,delta_projection_pct,delta_minimum_torque_headroom_nm,delta_minimum_reserved_torque_headroom_nm,delta_force_recovery_time_s,delta_tangent_recovery_time_s
modest_combined,-15,11,baseline,combined_post,1,2,0.001335813011725806,-0.0005517424185352837,0.0,-0.006304047741389596,1.4786762912374907e-07,-0.12103421326394612,0.0,0.0,-0.0008439860704267943,-0.0008439860704267943,,
modest_combined,-15,11,baseline,combined_transition,1,2,-0.006130675738985514,0.026908366785965754,0.0,0.0104577725899766,2.5077633794638385e-05,-0.13741510020917042,0.0,0.0,-0.028896132944038477,-0.028896132944038477,,
modest_combined,-15,11,baseline,overall,1,2,-0.002035861393816063,-0.08299995837766261,0.0,0.00295528805497014,6.213221968674569e-05,-0.17798746433224386,0.0,0.0,-0.0008439860704267943,-0.0008439860704267943,1.17,
modest_combined,-15,11,baseline,pre_change,1,2,-0.007695839639577873,-0.019305254696446283,0.0,0.016619184531004194,0.00023841384777477034,-0.2824626339094968,0.0,0.0,0.007629041169406214,0.007629041169406214,,
modest_combined,-15,11,friction,combined_post,1,2,0.001582620229416798,0.004983266424371635,0.0,-0.01054978884560942,-9.08706800089882e-06,-0.13063602485561898,0.0,0.0,-0.0016899741385039135,-0.0016899741385039135,,
modest_combined,-15,11,friction,combined_transition,1,2,-0.005566267017857063,0.0716773506060786,0.0,0.030880810212689846,2.2750409400060494e-05,-0.10662267779889545,0.0,0.0,-0.029904304223536293,-0.029904304223536293,,
modest_combined,-15,11,friction,overall,1,2,-0.0026518315875266874,-0.08398993994359394,0.0,0.004129811127440597,3.479422536050748e-05,-0.18399857997008195,0.0,0.0,-0.0016899741385039135,-0.0016899741385039135,-0.041999999999999815,
modest_combined,-15,11,friction,pre_change,1,2,-0.013531535997228894,-0.02874389699714719,0.0,0.014844486523508671,0.00015331466910834196,-0.31097780609956027,0.0,0.0,0.018072802212811823,0.018072802212811823,,
modest_combined,-15,11,online,combined_post,1,2,0.0016703276488322372,0.0047023543999511475,0.0,-0.010383706452277153,2.9987699209643726e-06,-0.1331832388420299,0.0,0.0,-0.0017540431428457737,-0.0017540431428457737,,
modest_combined,-15,11,online,combined_transition,1,2,-0.005930804838159609,0.06932329005939764,0.0,0.027737396194604802,2.9134156492879523e-05,-0.10974092962786072,0.0,0.0,-0.030600630423837316,-0.030600630423837316,,
modest_combined,-15,11,online,overall,1,2,-0.0019930016549560836,-0.08398993993866455,0.0,0.010858888136088929,0.00013399922580614992,-0.18390324004209738,0.0,0.0,-0.0017540431428457737,-0.0017540431428457737,-0.041999999999999815,0.0
modest_combined,-15,11,online,pre_change,1,2,-0.00757260221247702,-0.022956409437112413,0.0,0.05451447480756921,0.0004743272825259177,-0.30727328414449023,0.0,0.0,0.027650991579352358,0.027650991579352358,,
modest_combined,0,11,baseline,combined_post,1,2,0.003554720731446359,-0.0025223615494205376,0.0,-0.0020501091199509602,1.1273976374567146e-05,-0.1451882131439537,0.0,0.0,0.0027280914103382514,0.0027280914103382514,,
modest_combined,0,11,baseline,combined_transition,1,2,-0.007200897243270332,0.031798360724543784,0.0,0.00026327634951872625,4.1913899484411626e-05,-0.11945129915900116,0.0,0.0,-0.021480316680497324,-0.021480316680497324,,
modest_combined,0,11,baseline,overall,1,2,-0.0011993909818875936,-0.09350556179809466,0.0,0.0012044784207674297,7.61281319835369e-05,-0.165403209352143,0.0,0.0,0.0027280914103382514,0.0027280914103382514,0.0,
modest_combined,0,11,baseline,pre_change,1,2,-0.013852842251736025,-0.02253239040540045,0.0,0.01103890814125208,0.00025349642028952776,-0.24159431657754588,0.0,0.0,0.006966889203149584,0.006966889203149584,,
modest_combined,0,11,friction,combined_post,1,2,0.003619520497379014,-0.0024349486253303354,0.0,-0.0076860782362544455,3.942346373605847e-06,-0.14725078460042706,0.0,0.0,-0.0007446302710025776,-0.0007446302710025776,,
modest_combined,0,11,friction,combined_transition,1,2,-0.006964789162435592,0.05028390198345001,0.0,0.04871857629842258,4.6522484336511665e-05,-0.10294593680607014,0.0,0.0,-0.025494945185675633,-0.025494945185675633,,
modest_combined,0,11,friction,overall,1,2,-0.001422457848330616,-0.09339808804443805,0.0,0.008616679897039514,4.065034659075234e-05,-0.16975305641079116,0.0,0.0,-0.0007446302710025776,-0.0007446302710025776,1.290000000000001,-0.02200000000000024
modest_combined,0,11,friction,pre_change,1,2,-0.014522797853264019,-0.027019439049235316,0.0,0.011557552801458204,0.00011740321096405425,-0.2639159394099448,0.0,0.0,0.005884250008977077,0.005884250008977077,,
modest_combined,0,11,online,combined_post,1,2,0.003869112358272808,-0.0011602717544789698,0.0,-0.007749741730568971,2.0385036238185564e-05,-0.15027500765463336,0.0,0.0,-0.0005412098651973452,-0.0005412098651973452,,
modest_combined,0,11,online,combined_transition,1,2,-0.007459862324761701,0.05042300056881466,0.0,0.04716629276050033,5.83436695561425e-05,-0.10482481125875956,0.0,0.0,-0.026788796738598464,-0.026788796738598464,,
modest_combined,0,11,online,overall,1,2,-0.0013625619955449642,-0.09339808804443983,0.0,0.014306421879071607,0.00013925259909643248,-0.16966066843306546,0.0,0.0,-0.0005412098651973452,-0.0005412098651973452,1.274000000000001,0.0
modest_combined,0,11,online,pre_change,1,2,-0.014089175521947772,-0.024846604759709123,0.0,0.04092947951004278,0.00041872193856412,-0.2598179319277204,0.0,0.0,0.006094520244387169,0.006094520244387169,,
modest_combined,15.0,11,baseline,combined_post,1,2,0.004876879972632753,-0.00014582422629239034,0.0,-0.00026455932740354626,2.1734682654109272e-05,-0.20600630359082547,0.0,0.0,0.009808828067579434,0.009808828067579434,,
modest_combined,15.0,11,baseline,combined_transition,1,2,-0.006349777297265657,0.023463752014762917,0.0,-0.011077100975369625,6.787203460319885e-05,-0.11682931025962981,0.0,0.0,-0.015997485812972556,-0.015997485812972556,,
modest_combined,15.0,11,baseline,overall,1,2,0.0012129433454001193,-0.07984128965941295,0.0,-0.001739158883712122,0.00010118167208366183,-0.18170214172414373,0.0,0.0,0.009808828067579434,0.009808828067579434,0.0,
modest_combined,15.0,11,baseline,pre_change,1,2,0.0054190715083587415,0.05358876497608023,0.0,0.007262452866889646,0.00030139070776651414,-0.22127367523090125,0.0,0.0,0.006274943444053882,0.006274943444053882,,
modest_combined,15.0,11,friction,combined_post,1,2,0.004768743784777207,0.0018032338751972077,0.0,-0.009078878294548787,1.077547550363319e-05,-0.20603396839148502,0.0,0.0,0.0049639119087308,0.0049639119087308,,
modest_combined,15.0,11,friction,combined_transition,1,2,-0.0070588770759428265,0.03481415673962829,0.0,0.07052058276106843,8.111845159209947e-05,-0.11476189224838648,0.0,0.0,-0.022787441594047664,-0.022787441594047664,,
modest_combined,15.0,11,friction,overall,1,2,0.00021875997246656453,-0.07855311550905952,0.0,0.014470906058848598,6.17735786112919e-05,-0.18663272904915174,0.0,0.0,0.0049639119087308,0.0049639119087308,0.0,-0.034000000000000696
modest_combined,15.0,11,friction,pre_change,1,2,-0.006326889291718124,0.027097459802650548,0.0,0.021969094709401116,0.00015269613957141813,-0.24069470840695606,0.0,0.0,0.005788477767174172,0.005788477767174172,,
modest_combined,15.0,11,online,combined_post,1,2,0.00501345800812758,0.0023555938031076806,0.0,-0.009690910459597468,2.8325419874682817e-05,-0.20915335032000748,0.0,0.0,0.004870640286439354,0.004870640286439354,,
modest_combined,15.0,11,online,combined_transition,1,2,-0.0073860264784805785,0.03482628358074713,0.0,0.06939571873660566,9.643096601671779e-05,-0.11591098432601721,0.0,0.0,-0.021790422695046274,-0.021790422695046274,,
modest_combined,15.0,11,online,overall,1,2,0.0006249381212156679,-0.07855311551219835,0.0,0.019293145016534563,0.00015448474700164704,-0.18643450840258732,0.0,0.0,0.004870640286439354,0.004870640286439354,0.0,-0.02200000000000024
modest_combined,15.0,11,online,pre_change,1,2,0.00038985295728669045,0.06676803071494142,0.0,0.04573643395451854,0.0004189247920922132,-0.23518652443146776,0.0,0.0,0.005557355816451448,0.005557355816451448,,
stop_hold_reverse,-15,11,baseline,forward,1,2,0.002437100976100337,0.03632723414110828,0.0,-0.0012781382031565869,0.00014535610637416568,-0.24851331598260945,0.0,0.0,0.001263304017164124,0.001263304017164124,,
stop_hold_reverse,-15,11,baseline,hold,1,2,-0.015489420730215406,-0.033119564623738995,0.0,0.03291024705159007,1.7928929444344793e-05,-0.14184707830918977,0.0,0.0,-0.005185417627180833,-0.005185417627180833,,
stop_hold_reverse,-15,11,baseline,overall,1,2,-0.0028722021277491627,-0.08260715292964882,0.0,0.004782968366782825,5.978575171021808e-05,-0.16901891536461167,0.0,0.0,0.0004469484160836146,0.0004469484160836146,0.0,
stop_hold_reverse,-15,11,baseline,reverse,1,2,0.004741406057223035,-0.002928527997884345,0.0,-0.0028711102345102546,1.0259009107756525e-05,-0.1345218039840055,0.0,0.0,0.0004469484160836146,0.0004469484160836146,,
stop_hold_reverse,-15,11,baseline,reverse_ramp,1,2,-0.021680408652353975,-0.013263860807924743,0.0,0.026139190832835446,6.98154502836168e-05,-0.09100794961982707,0.0,0.0,-0.0013749707123515975,-0.0013749707123515975,,
stop_hold_reverse,-15,11,baseline,stopping,1,2,-0.021734823025384487,0.03024286951727362,0.0,0.022449606689709967,-8.228131767572429e-05,-0.07302466435570254,0.0,0.0,-0.027276418310756334,-0.027276418310756334,,
stop_hold_reverse,-15,11,friction,forward,1,2,0.0015557419920614601,0.0355702577277377,0.0,0.018392448147503293,0.0002729947666500988,-0.2613326528618562,0.0,0.0,0.015678853564288886,0.015678853564288886,,
stop_hold_reverse,-15,11,friction,hold,1,2,-0.02055520888107249,-0.05803042640072498,0.0,0.022383697279917736,-1.9115433550293752e-05,-0.0923806665491828,0.0,0.0,0.007462785891739543,0.007462785891739543,,
stop_hold_reverse,-15,11,friction,overall,1,2,-0.0023731450702578205,-0.08260715292972698,0.0,0.012152670913619934,0.00011042458079393684,-0.17327176028942337,0.0,0.0,-0.0006825512075092632,-0.0006825512075092632,0.0,0.0
stop_hold_reverse,-15,11,friction,reverse,1,2,0.006296503441824822,-0.0007521043527010107,0.0,0.002377524361730332,1.8525262565525016e-05,-0.14753953159585045,0.0,0.0,-0.0006825512075092632,-0.0006825512075092632,,
stop_hold_reverse,-15,11,friction,reverse_ramp,1,2,-0.009627543686094184,-0.011821322027357084,0.0,0.02832976065815762,-7.610100952811123e-06,-0.0751800915540241,0.0,0.0,0.00038415021873916544,0.00038415021873916544,,
stop_hold_reverse,-15,11,friction,stopping,1,2,-0.02093620887318523,0.028702085621359785,0.0,0.023267382647927493,3.60370868197628e-05,-0.08375677773031528,0.0,0.0,-0.030615022160639604,-0.030615022160639604,,
stop_hold_reverse,-15,11,online,forward,1,2,0.003984965724820877,0.038300257551293626,0.0,0.0424621670016152,0.0004392344532507782,-0.2649918706274598,0.0,0.0,0.019174443756273973,0.019174443756273973,,
stop_hold_reverse,-15,11,online,hold,1,2,-0.021178110308114048,-0.06489880678962479,0.0,0.029282005853363158,-5.590024013113904e-06,-0.09297178022695968,0.0,0.0,0.005786353138633515,0.005786353138633515,,
stop_hold_reverse,-15,11,online,overall,1,2,-0.001196486072284092,-0.08260715292972698,0.0,0.0316233983247165,0.0002120253817303958,-0.17621416042002702,0.0,0.0,-0.01286117849508539,-0.01286117849508539,0.0,0.0
stop_hold_reverse,-15,11,online,reverse,1,2,0.006196779162305072,0.0027321591753644014,0.0,0.01945707451290546,4.462866097461652e-05,-0.15046115626969814,0.0,0.0,-0.0002167980308342976,-0.0002167980308342976,,
stop_hold_reverse,-15,11,online,reverse_ramp,1,2,-0.006206006040630679,-0.013098189041453878,0.0,0.03525591197479705,-1.3721867339674e-05,-0.08127480070687654,0.0,0.0,0.0005349773322578244,0.0005349773322578244,,
stop_hold_reverse,-15,11,online,stopping,1,2,-0.021221519307727227,0.055821378714579595,0.0,0.03616652153483746,4.296470746909496e-05,-0.08625723167382854,0.0,0.0,-0.03137768126759344,-0.03137768126759344,,
stop_hold_reverse,0,11,baseline,forward,1,2,-0.0017871965920742694,-0.00759239131114775,0.0,-0.0021775848180904944,0.00015791210216188276,-0.19825493538238276,0.0,0.0,0.0002597824397838622,0.0002597824397838622,,
stop_hold_reverse,0,11,baseline,hold,1,2,-0.013855878065594272,-0.04574891392450553,0.0,0.0005410320204237706,-1.284484819857705e-06,-0.1408323526779553,0.0,0.0,0.0023525572339018197,0.0023525572339018197,,
stop_hold_reverse,0,11,baseline,overall,1,2,-0.002203511885430401,-0.09383067459624783,0.0,0.0016302045437175394,7.425333398457419e-05,-0.16019672628878154,0.0,0.0,-5.614955179655823e-05,-5.614955179655823e-05,0.0,
stop_hold_reverse,0,11,baseline,reverse,1,2,-0.0016598242529122648,0.0061554402820025444,0.0,0.00033483487547236734,2.1479635447699263e-05,-0.16558305727770528,0.0,0.0,0.0020174914407675715,0.0020174914407675715,,
stop_hold_reverse,0,11,baseline,reverse_ramp,1,2,0.005860096559823613,0.05344327245522429,0.0,0.04673214736085196,0.00010552097120291801,-0.08584055994076073,0.0,0.0,0.00016383762944371938,0.00016383762944371938,,
stop_hold_reverse,0,11,baseline,stopping,1,2,-0.008312283092227035,0.017386023930939132,0.0,-0.008998041071862417,-4.9836321472403536e-05,-0.08140259274409603,0.0,0.0,-0.020847226518967865,-0.020847226518967865,,
stop_hold_reverse,0,11,friction,forward,1,2,-0.0026577958183366113,-0.0015173409078563793,0.0,0.014666444930242273,0.00026727814035142723,-0.21164381332482765,0.0,0.0,0.001516557951052988,0.001516557951052988,,
stop_hold_reverse,0,11,friction,hold,1,2,-0.01913746364242693,-0.06594571139631888,0.0,0.049815178520889875,4.331823847452087e-06,-0.09217518946209088,0.0,0.0,0.015889014373858146,0.015889014373858146,,
