case_index,scenario,simulation_seed,contact_in_both_methods,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,online_gate_pass,failed_online_gates
0,surface_dev_00,11,True,0.005886507043513511,0.0,-0.5163499883674174,0.0,0.0,0.012910986445789696,-0.0007290367643285334,0.0,0.0,0.0,-0.0014907538513179164,0.0,0.42927205689752057,yes,
1,surface_dev_01,29,True,0.006519802846708694,0.0,-0.5101629090798705,0.0,0.0,0.012932764197719604,-0.0007566401162064917,0.0,0.0,0.0,-0.002767746267411386,0.0,0.4409930713646375,yes,
2,surface_dev_02,11,True,0.005870403263661228,0.0,-0.5148896157502918,0.0,0.0,0.012925750009743053,-0.0007062589708104472,0.0,0.0,0.0,-0.0015634932752501829,0.0,0.42932411159552597,yes,
3,surface_dev_03,29,True,0.006507522161663365,0.0,-0.5087004362758012,0.0,0.0,0.012948838308337929,-0.0007313202676491881,0.0,0.0,0.0,-0.0027230342431461274,0.0,0.44090105967521964,yes,
4,surface_dev_04,11,True,0.0058653752328782505,0.0,-0.5074146893129377,0.0,0.0,0.012967813726247779,-0.0007967950175365168,0.0,0.0,0.0,-0.0013852183827715026,0.0,0.42844733770706167,yes,
5,surface_dev_05,29,True,0.006458186286781631,0.0,-0.5010691526845708,0.0,0.0,0.012994082368374849,-0.0008329199087619144,0.0,0.0,0.0,-0.0028269307176844727,0.0,0.4382990686126256,yes,
6,surface_dev_06,11,True,0.005850901820430104,0.0,-0.5059975491719362,0.0,0.0,0.012984016632321738,-0.000775165224483787,0.0,0.0,0.0,-0.0014039336459007457,0.0,0.42852532528216525,yes,
7,surface_dev_07,29,True,0.006445058238979395,0.0,-0.4996276358733147,0.0,0.0,0.013009533023257025,-0.0008109736272327306,0.0,0.0,0.0,-0.002838208704716516,0.0,0.43822214532438064,yes,
8,surface_dev_08,11,True,-0.0004509722866138377,0.0,-0.5214822709276881,0.0,0.0,0.013700841095092009,-0.000342877084798493,0.0,0.0,0.0,-0.0021847981795941607,0.0,0.4283548409297051,yes,
9,surface_dev_09,29,True,1.0882950593732454e-05,0.0,-0.5149972433101999,0.0,0.0,0.013736453287814032,-0.00024920108432413546,0.0,0.0,0.0,-0.0020241244758634203,0.0,0.43992949234019374,yes,
10,surface_dev_10,11,True,-0.00047262012519347363,0.0,-0.5200089160011101,0.0,0.0,0.013713071856986114,-0.0003258093905185999,0.0,0.0,0.0,-0.0021313279656709483,0.0,0.4284611790204549,yes,
11,surface_dev_11,29,True,-1.6984051405599665e-05,0.0,-0.5134936796083998,0.0,0.0,0.013749236010849097,-0.00023262759638420505,0.0,0.0,0.0,-0.002029127185748658,0.0,0.4401450540883065,yes,
12,surface_dev_12,11,True,-0.0005910152268817359,0.0,-0.511317138930041,0.0,0.0,0.013761712751656774,-0.0003837022871371887,0.0,0.0,0.0,-0.0023618787317325474,0.0,0.42369428439291745,yes,
13,surface_dev_13,29,True,-0.00010346963355828409,0.0,-0.5036927459423037,0.0,0.0,0.013799128452526732,-0.00027369802601395765,0.0,0.0,0.0,-0.00197609615038008,0.0,0.43702407330975124,yes,
14,surface_dev_14,11,True,-0.0006032282411744805,0.0,-0.5099248138327936,0.0,0.0,0.013773511343570966,-0.000363035650236071,0.0,0.0,0.0,-0.0023724361734867028,0.0,0.4239387453678587,yes,
15,surface_dev_15,29,True,-0.0001256973511661874,0.0,-0.5022241293189853,0.0,0.0,0.013812109311183651,-0.00025670474664615806,0.0,0.0,0.0,-0.0019950598842966016,0.0,0.43733209802737516,yes,
16,surface_dev_16,11,True,0.0035821605442313553,0.038511384288252515,-0.5603611023115691,0.0,0.0,0.015611376768282226,0.00010040537011499207,0.0,0.0,0.0,-0.0020181407405003293,0.0,0.3684678100602836,yes,
17,surface_dev_17,29,True,0.00399660015169967,0.035060909549693875,-0.5532325354562551,0.0,0.0,0.015748726490177,0.0002273662186563774,0.0,0.0,0.0,-0.0021692798775010402,0.0,0.36314743293234564,yes,
18,surface_dev_18,11,True,0.003567130518152134,0.03838268938432421,-0.5587490685094307,0.0,0.0,0.015616331222024105,0.00011230354218658145,0.0,0.0,0.0,-0.00200399604702306,0.0,0.3687149735781068,yes,
19,surface_dev_19,29,True,0.003989852837691876,0.03481539413944823,-0.5517178453449143,0.0,0.0,0.01575186253544958,0.0002400052555742438,0.0,0.0,0.0,-0.002196176046584619,0.0,0.3633639213594524,yes,
20,surface_dev_20,11,True,0.0033708818668477247,0.06962698344639229,-0.5489522885582991,0.0,0.0,0.015679030342218625,0.00011019336058237794,0.0,0.0,0.0,-0.0021544629935383863,0.0,0.36441126929152556,yes,
21,surface_dev_21,29,True,0.0038004006161019566,0.06058252465332892,-0.5419255221296828,0.0,0.0,0.01581010069564165,0.00025999953602118264,0.0,0.0,0.0,-0.0019940405385255877,0.0,0.36055307542308945,yes,
22,surface_dev_22,11,True,0.003360011961171777,0.06943180938765181,-0.547493888193415,0.0,0.0,0.015683295980541856,0.00012486915790432818,0.0,0.0,0.0,-0.002113495541978816,0.0,0.36474602684022095,yes,
23,surface_dev_23,29,True,0.003791104101641546,0.06046975785783992,-0.5403795934052325,0.0,0.0,0.01581606768040028,0.0002716499717963783,0.0,0.0,0.0,-0.0020529688074706343,0.0,0.36074473844583554,yes,
