case_index,rotation_gain_scale,max_force_n,surface_yaw_deg,trace_path,reference_trace,new_simulation,window,start_s,end_s,samples,active_pct,ready_pct,projection_allowed_pct,amplitude_capped_pct,slew_limited_pct,positive_update_pct,cap_blocks_positive_update_pct,position_lag_velocity_ahead_pct,positive_update_lag_ahead_pct,rate_limited_candidate_pct,position_drive_mean_mm,velocity_drive_mean_mm,drive_mean_mm,accepted_positive_coefficient_sum,accepted_negative_coefficient_sum,coefficient_start,coefficient_end,corrected_force_mean_n
7,1.0,6.0,-15.0,traces/case07__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,89.33333333333333,0.0,0.0,0.6666666666666667,0.0,0.0,1.0255713925619971,0.48093810418107696,1.506509496743074,0.0,0.0,0.45,0.45,12.38270019497288
7,1.0,6.0,-15.0,traces/case07__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,True,onset,1.5,2.0,250,100.0,94.39999999999999,100.0,38.800000000000004,0.0,55.60000000000001,20.8,72.39999999999999,40.0,0.0,2.1462555071255753,-0.3078448528733346,1.838410654252241,0.05101080736214897,-0.0015834076480658044,0.45,0.4994273997140832,12.056739134050419
7,1.0,6.0,-15.0,traces/case07__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,99.2,0.0,0.8,82.0,68.93333333333334,0.8,0.0,0.6082706917014755,-0.024182924120288305,0.5840877675811873,0.0007805743442791946,-0.004675411344079061,0.4994273997140832,0.4955325627142833,12.25454466872675
7,1.0,6.0,-15.0,traces/case07__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,39.4,0.0,33.800000000000004,37.8,78.2,33.800000000000004,0.0,0.39556237909677716,-0.07804261855020568,0.3175197605465714,0.0093994432159899,-0.0038049471482444197,0.4955325627142833,0.5011270587820288,11.941248411172769
7,1.0,8.0,-15.0,traces/case07__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case07__s1__f8n.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,89.33333333333333,0.0,0.0,0.6666666666666667,0.0,0.0,1.0255713925619971,0.48093810418107696,1.506509496743074,0.0,0.0,0.45,0.45,12.38270019497288
7,1.0,8.0,-15.0,traces/case07__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case07__s1__f8n.npz,True,onset,1.5,2.0,250,100.0,94.39999999999999,100.0,0.0,0.0,73.6,0.0,70.0,57.99999999999999,0.0,2.1147419624525026,-0.32922891805011373,1.785513044402389,0.054312916000627764,-0.0028597239595256063,0.45,0.5014531920411022,12.05256169467164
7,1.0,8.0,-15.0,traces/case07__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case07__s1__f8n.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,76.93333333333334,0.0,67.46666666666667,66.4,0.0,0.2647632385366025,-0.048594315472150096,0.2161689230644524,0.03084537539696952,-0.01016943391419034,0.5014531920411022,0.5221291335238814,12.257464047744493
7,1.0,8.0,-15.0,traces/case07__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case07__s1__f8n.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,25.2,0.0,32.4,25.2,0.0,-0.1400807937998107,-0.06356674730990139,-0.2036475411097121,0.0027374469262834156,-0.016114667272360106,0.5221291335238814,0.5087519131778047,11.937238646044856
15,1.0,6.0,0.0,traces/case15__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,91.33333333333333,0.0,0.0,0.0,0.0,0.0,0.8991717881643502,0.494970351374689,1.3941421395390394,0.0,0.0,0.45,0.45,12.445336651048859
15,1.0,6.0,0.0,traces/case15__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,True,onset,1.5,2.0,250,100.0,93.2,100.0,44.0,0.0,49.2,30.8,76.0,35.6,0.0,2.070293027921658,-0.2897629940153169,1.780530033906341,0.04387496884392683,-0.00091069010719802,0.45,0.4929642787367288,12.22666526261972
15,1.0,6.0,0.0,traces/case15__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,75.2,0.0,20.666666666666668,67.33333333333333,75.86666666666667,11.866666666666667,0.0,0.5439206361539193,-0.040514851512104065,0.5034057846418152,0.009298914807787217,-0.002395427058364319,0.4929642787367288,0.4998677664861517,12.148644306333901
15,1.0,6.0,0.0,traces/case15__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,42.199999999999996,0.0,30.2,33.800000000000004,70.6,30.2,0.0,0.19187156175222125,-0.06159872486567761,0.13027283688654362,0.005543788407980865,-0.004634333396163259,0.4998677664861517,0.5007772214979693,11.922213054087315
15,1.0,8.0,0.0,traces/case15__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case15__s1__f8n.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,91.33333333333333,0.0,0.0,0.0,0.0,0.0,0.8991717881643502,0.494970351374689,1.3941421395390394,0.0,0.0,0.45,0.45,12.445336651048859
15,1.0,8.0,0.0,traces/case15__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case15__s1__f8n.npz,True,onset,1.5,2.0,250,100.0,93.2,100.0,0.0,0.0,74.4,0.0,71.6,60.8,0.0,2.039800077453501,-0.30644331883863823,1.7333567586148626,0.04934434889762679,-0.0017879959654292232,0.45,0.4975563529321976,12.225543825826493
15,1.0,8.0,0.0,traces/case15__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case15__s1__f8n.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,77.73333333333333,0.0,69.19999999999999,66.0,0.0,0.2724306109945439,-0.05862001995299595,0.21381059104154798,0.0257814470886496,-0.005208431887844478,0.4975563529321976,0.5181293681330027,12.149284824858823
15,1.0,8.0,0.0,traces/case15__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case15__s1__f8n.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,18.6,0.0,25.8,18.6,0.0,-0.14788648946725255,-0.04890798007403419,-0.1967944695412867,0.0015322335027745382,-0.014399905881790964,0.5181293681330027,0.5052616957539863,11.921492959680837
23,1.0,6.0,15.0,traces/case23__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_23__compact.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.784508949711494,0.5160501419661078,1.3005590916776018,0.0,0.0,0.45,0.45,12.457631110567496
23,1.0,6.0,15.0,traces/case23__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_23__compact.npz,True,onset,1.5,2.0,250,100.0,92.4,100.0,34.8,0.0,57.199999999999996,34.4,76.4,41.199999999999996,0.0,2.341397201044187,-0.2470619477863425,2.0943352532578445,0.040325434562568596,-3.067723945093803e-05,0.45,0.49029475732311767,12.387427609778358
23,1.0,6.0,15.0,traces/case23__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_23__compact.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,57.599999999999994,0.0,39.06666666666666,57.46666666666667,98.13333333333333,39.06666666666666,0.0,0.544197261982694,-0.06007252019027559,0.4841247417924185,0.014818867495157484,-0.0004431106909936755,0.49029475732311767,0.5046705141272815,12.022066849925347
23,1.0,6.0,15.0,traces/case23__s1__f6n.npz,results/franka_rotation_gain_public24/traces/s1__online__case_23__compact.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,92.4,0.0,7.3999999999999995,68.4,81.8,7.3999999999999995,0.0,0.24389128630752513,-0.055277842910154654,0.18861344339737046,0.001817645545778901,-0.0023385311818460153,0.5046705141272815,0.5041496284912144,11.920640389353427
23,1.0,8.0,15.0,traces/case23__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s1__f8n.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.784508949711494,0.5160501419661078,1.3005590916776018,0.0,0.0,0.45,0.45,12.457631110567496
23,1.0,8.0,15.0,traces/case23__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s1__f8n.npz,True,onset,1.5,2.0,250,100.0,92.4,100.0,0.0,0.0,82.39999999999999,0.0,74.8,66.4,0.0,2.249341450175583,-0.2808558920500442,1.9684855581255387,0.05358541222393204,-0.000660230975741749,0.45,0.5029251812481903,12.389102191496695
23,1.0,8.0,15.0,traces/case23__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s1__f8n.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,75.33333333333333,0.0,74.13333333333333,66.93333333333334,0.0,0.24877620617819737,-0.07154167933100745,0.17723452684718988,0.02141532098065224,-0.0041784061259420024,0.5029251812481903,0.5201620961029005,12.020953983300657
23,1.0,8.0,15.0,traces/case23__s1__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s1__f8n.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,23.200000000000003,0.0,31.0,23.200000000000003,0.0,-0.12108836994821606,-0.05222300067199487,-0.17331137062021093,0.0018043764636931359,-0.013104127112235742,0.5201620961029005,0.5088623454543579,11.921353217944365
23,2.0,6.0,15.0,traces/case23__s2__f6n.npz,results/franka_rotation_gain_public24/traces/s2__online__case_23__compact.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.7751479765478986,0.5244648666028917,1.2996128431507903,0.0,0.0,0.45,0.45,12.425854525154733
23,2.0,6.0,15.0,traces/case23__s2__f6n.npz,results/franka_rotation_gain_public24/traces/s2__online__case_23__compact.npz,True,onset,1.5,2.0,250,100.0,92.4,100.0,27.200000000000003,0.0,59.199999999999996,27.200000000000003,74.8,42.0,0.0,2.432029544449263,-0.26665238736908176,2.165377157080181,0.04063633437108172,-0.00023448770851502987,0.45,0.4904018466625667,12.403413845671228
23,2.0,6.0,15.0,traces/case23__s2__f6n.npz,results/franka_rotation_gain_public24/traces/s2__online__case_23__compact.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,53.6,0.0,38.93333333333333,53.46666666666666,82.53333333333333,26.266666666666666,0.0,0.5159545359147222,-0.05674092557971307,0.45921361033500907,0.015893320469794192,-0.0012434321908372237,0.4904018466625667,0.5050517349415237,12.005226380400956
23,2.0,6.0,15.0,traces/case23__s2__f6n.npz,results/franka_rotation_gain_public24/traces/s2__online__case_23__compact.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,93.0,0.0,6.6000000000000005,68.60000000000001,81.8,6.6000000000000005,0.0,0.2368802413294827,-0.05543807402771185,0.18144216730177085,0.0016548937211269266,-0.0023372104824603834,0.5050517349415237,0.5043694181801902,11.920884280233157
23,2.0,8.0,15.0,traces/case23__s2__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s2__f8n.npz,True,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.7751479765478986,0.5244648666028917,1.2996128431507903,0.0,0.0,0.45,0.45,12.425854525154733
23,2.0,8.0,15.0,traces/case23__s2__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s2__f8n.npz,True,onset,1.5,2.0,250,100.0,92.4,100.0,0.0,0.0,74.4,0.0,68.8,57.199999999999996,0.0,2.309082208278001,-0.306077832970139,2.003004375307862,0.05511060062503209,-0.0017603360127363965,0.45,0.5033502646122957,12.406232167093982
23,2.0,8.0,15.0,traces/case23__s2__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s2__f8n.npz,True,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,73.86666666666667,0.0,67.86666666666666,63.2,0.0,0.23247338705406792,-0.06531371019728695,0.16715967685678101,0.02275996309527545,-0.006507708011814828,0.5033502646122957,0.5196025196957563,12.003501613499918
23,2.0,8.0,15.0,traces/case23__s2__f8n.npz,results/franka_budget_transfer/traces/public24__case23__s2__f8n.npz,True,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,23.599999999999998,0.0,32.6,23.599999999999998,0.0,-0.11518179820918753,-0.053751391010157475,-0.16893318921934505,0.0018768249858959196,-0.012886350068193941,0.5196025196957563,0.5085929946134583,11.921980006904452
