case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
static_nominal,baseline,11,11,0.0,5250,0.12085634154428855,12.610178365977276,100.0,11.709632335167377,0.01602641019701261,0.17196022776478412,0.0,steady,0.12085634154428855,steady,11.709632335167377,steady,0.17196022776478412,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.006845734828173786,-0.01432730667666246,,yes
static_nominal,integral,11,11,0.0,5250,0.1323837227616448,12.65688490959961,100.0,8.11327581566878,0.013024697166333034,0.22355820752780944,0.0,steady,0.1323837227616448,steady,8.11327581566878,steady,0.22355820752780944,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.278909241045,False,0.0,0.0,9.935285142553715,0.0,0.011527381217356261,0.051597979763025326,0.018373116045530047,0.037270673086362865,,yes
static_nominal,friction,11,11,0.0,5250,0.11401060671611477,12.592717871161149,100.0,1.707202033157649,0.002850995497394662,0.18628753444144658,0.0,steady,0.11401060671611477,steady,1.707202033157649,steady,0.18628753444144658,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.624935016421131,False,0.0,0.0,69.52171468863676,0.0,-0.006845734828173786,0.01432730667666246,0.0,0.0,,yes
static_nominal,online,11,11,0.0,5250,0.11751429378637152,12.652065967202299,100.0,1.0921039756855326,0.0026633186767758914,0.19215024595529903,0.0,steady,0.11751429378637152,steady,1.0921039756855326,steady,0.19215024595529903,not_applicable,,,not_applicable,,,99.65714285714286,0.45,0.5083209683453616,5.984360762996737,False,0.2707712772919424,0.0,20.00000000000034,0.0,-0.0033420477579170355,0.020190018190514913,0.00350368707025675,0.005862711513852453,,yes
static_nominal,baseline,29,29,0.0,5250,0.11625483725092055,12.630452203089886,100.0,11.700015552224487,0.016024612446026664,0.17209435194059383,0.0,steady,0.11625483725092055,steady,11.700015552224487,steady,0.17209435194059383,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0068917058957879,-0.014329307362173083,,yes
static_nominal,integral,29,29,0.0,5250,0.12856857411257255,12.688438207062044,100.0,8.101503377246356,0.013037517874093177,0.22369535010325897,0.0,steady,0.12856857411257255,steady,8.101503377246356,steady,0.22369535010325897,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.270731631590843,False,0.0,0.0,10.03029194555031,0.0,0.012313736861652005,0.05160099816266514,0.019205442757439906,0.03727169080049206,,yes
static_nominal,friction,29,29,0.0,5250,0.10936313135513265,12.571809962530981,100.0,1.6934310317487644,0.0028716805180818367,0.18642365930276691,0.0,steady,0.10936313135513265,steady,1.6934310317487644,steady,0.18642365930276691,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.641496802581593,False,0.0,0.0,68.2357190279773,0.0,-0.0068917058957879,0.014329307362173083,0.0,0.0,,yes
static_nominal,online,29,29,0.0,5250,0.11310021019376028,12.629022589436339,100.0,1.0861978864231177,0.0026952947004327665,0.1922989243607196,0.0,steady,0.11310021019376028,steady,1.0861978864231177,steady,0.1922989243607196,not_applicable,,,not_applicable,,,99.63809523809523,0.45,0.5077075782318561,5.984360762996737,False,0.2694922025019697,0.0,20.000000000000377,0.0,-0.0031546270571602697,0.02020457242012577,0.0037370788386276305,0.005875265057952689,,yes
static_low_friction,baseline,11,11,0.0,5250,0.11926117901113284,12.626419616146608,100.0,7.506873330651967,0.010380344145478547,0.2275531679455327,0.0,steady,0.11926117901113284,steady,7.506873330651967,steady,0.2275531679455327,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.01606027082177855,-0.016711734979019954,,yes
static_low_friction,integral,11,11,0.0,5250,0.12595285465677353,12.665230985342115,100.0,5.057324954994581,0.008482510499177429,0.26145077980714987,0.0,steady,0.12595285465677353,steady,5.057324954994581,steady,0.26145077980714987,not_applicable,,,not_applicable,,,0.0,0.45,0.45,3.231279859198469,False,0.0,0.0,7.275275274343715,0.0,0.006691675645640688,0.03389761186161716,0.022751946467419237,0.017185876882597206,,yes
static_low_friction,friction,11,11,0.0,5250,0.10320090818935429,12.681197359169499,100.0,3.8935565967532773,0.0050938203775482745,0.24426490292455266,0.0,steady,0.10320090818935429,steady,3.8935565967532773,steady,0.24426490292455266,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.635460984025915,False,0.0,0.0,69.51769013804703,0.0,-0.01606027082177855,0.016711734979019954,0.0,0.0,,yes
static_low_friction,online,11,11,0.0,5250,0.10799820472132819,12.667927627150771,100.0,1.1685676815210726,0.0026295816376215708,0.23866971985156638,0.0,steady,0.10799820472132819,steady,1.1685676815210726,steady,0.23866971985156638,not_applicable,,,not_applicable,,,99.63809523809523,0.30337064943360614,0.45,5.661264392152437,False,0.23823891085389404,0.0,20.00000000000045,0.0,-0.011262974289804648,0.011116551906033667,0.004797296531973902,-0.005595183072986287,,yes
static_low_friction,baseline,29,29,0.0,5250,0.11493268204929195,12.60251796780494,100.0,7.502711623141914,0.010398016318969245,0.22767560210471388,0.0,steady,0.11493268204929195,steady,7.502711623141914,steady,0.22767560210471388,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.016190158626343043,-0.016671480319107507,,yes
static_low_friction,integral,29,29,0.0,5250,0.12212246965916226,12.642756853196085,100.0,5.050381427358357,0.008523528465024476,0.2615738904887673,0.0,steady,0.12212246965916226,steady,5.050381427358357,steady,0.2615738904887673,not_applicable,,,not_applicable,,,0.0,0.45,0.45,3.2254165267192416,False,0.0,0.0,7.165866636645536,0.0,0.00718978760987031,0.0338982883840534,0.023379946236213353,0.017226808064945892,,yes
static_low_friction,friction,29,29,0.0,5250,0.09874252342294891,12.632483981961142,100.0,3.8958654330737694,0.005101667734566975,0.2443470824238214,0.0,steady,0.09874252342294891,steady,3.8958654330737694,steady,0.2443470824238214,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.620471904489421,False,0.0,0.0,68.23220483081792,0.0,-0.016190158626343043,0.016671480319107507,0.0,0.0,,yes
static_low_friction,online,29,29,0.0,5250,0.10389111363446281,12.6644821366203,100.0,1.1649518361045679,0.002624054373854573,0.2387178591163398,0.0,steady,0.10389111363446281,steady,1.1649518361045679,steady,0.2387178591163398,not_applicable,,,not_applicable,,,99.63809523809523,0.3030423703617773,0.45,5.676524922078622,False,0.2317831048020691,0.0,20.000000000000433,0.0,-0.011041568414829145,0.011042257011625922,0.005148590211513898,-0.0056292233074815845,,yes
static_high_friction,baseline,11,11,0.0,5250,0.12163469035130617,12.617628697354823,100.0,15.577936219182794,0.02102084779028131,0.15215069415444185,0.0,steady,0.12163469035130617,steady,15.577936219182794,steady,0.15215069415444185,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0004948552382512406,-0.008397128646906477,,yes
static_high_friction,integral,11,11,0.0,5250,0.1350603537578765,12.680506149739374,100.0,10.058741134451184,0.015976649046237055,0.1925843668958441,0.0,steady,0.1350603537578765,steady,10.058741134451184,steady,0.1925843668958441,not_applicable,,,not_applicable,,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,12.342514035696398,0.0,0.013425663406570337,0.04043367274140225,0.013920518644821578,0.03203654409449577,,yes
