trace,index,wrench_max_abs_error,torque_max_abs_error,equivalent_mu,update_ready,projection_status,projection_scale
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,0,0.0,0.0,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,1,1.1102230246251565e-15,1.1104398650596536e-15,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,2,6.938893903907228e-18,3.469446951953614e-18,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,3,1.1102230246251565e-15,1.1102230246251565e-15,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,4,1.1102230246251565e-15,1.1102230246251565e-15,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,5,2.220446049250313e-15,2.220446049250313e-15,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,6,0.0,0.0,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,7,1.1102230246251565e-15,1.1102230246251565e-15,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,8,0.0,0.0,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,9,1.1102230246251565e-15,1.1102230246251565e-15,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,10,0.0,0.0,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,11,8.673617379884035e-19,0.0,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,12,8.673617379884035e-19,0.0,0.45,False,unchanged,1.0
/home/lyh/robot-arm-compliant-control-lab/results/franka_rotation_gain_comparison/traces/friction_step_down__seed_11__friction__full.npz,13,0.0,0.0,0.45,False,unchanged,1.0
