method,case_index,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,from_scale,to_scale,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
baseline,0,11,-15.0,0.005,0.1,1.0,2.0,0.002437100976097728,-0.08260715292964882,-0.0012781382031352706,0.0,0.0,-0.24851331598262194,-0.0002945709953848519,0.0,0.0040000000000000036,-0.0007821784219208539,0.0001263789716158259,0.0,0.0,0.00014535610637416568,0.0012633040172307375,0.0012633040172307375
integral,0,11,-15.0,0.005,0.1,1.0,2.0,0.004424036374632984,-0.08306597006309957,0.030229176172314354,0.0,0.0,-0.30193460686036955,-0.00016792913128652054,0.0,0.0040000000000000036,-0.000786419405113925,0.0006386193553489239,0.0,-0.034008860393051954,0.00027814458508340287,-0.0006690119259005201,-0.0006690119259005201
friction,0,11,-15.0,0.005,0.1,1.0,2.0,0.0015557419921684579,-0.08260715292972698,0.018392448147629636,0.0,0.0,-0.26133265286186774,-0.0005090550939562399,0.0,0.0040000000000000036,-0.0007821784219208539,-0.0001947279300896776,0.0,-0.0042670064893224335,0.0002729947666497267,0.010161252192037118,0.010161252192037118
online,0,11,-15.0,0.005,0.1,1.0,2.0,0.0039849657249080295,-0.08260715292972698,0.042462167002672135,0.0,0.0,-0.2649918706274316,-0.00029392895108590333,0.0,0.0040000000000000036,-0.0007821784219208539,-0.0001991341276181835,0.0,-4.6353792804154637e-08,0.00043923445325658866,0.005734426740101384,0.005734426740101384
baseline,1,29,-15.0,0.005,0.1,1.0,2.0,0.003566263487995519,-0.0874032494471777,-0.0012626226148402253,0.0,0.0,-0.2485530361962266,-0.00041748431716592815,0.0,0.0020000000000000018,-0.0007992802821821243,0.0003808397745982406,0.0,0.0,0.0001458513703096742,0.005634146679790675,0.005634146679790675
integral,1,29,-15.0,0.005,0.1,1.0,2.0,0.005537157865056569,-0.08776967445603212,0.03039326241140472,0.0,0.0,-0.3019215441604115,-0.0003868832643289799,0.0,0.0020000000000000018,-0.0008037328876157046,-4.516413430388777e-05,0.0,-0.03422433165579708,0.0002806778867838061,-0.007232997678357833,-0.007232997678357833
friction,1,29,-15.0,0.005,0.1,1.0,2.0,0.0021445438182167986,-0.08740324944727185,0.019008709444936267,0.0,0.0,-0.2614218313055287,-0.0005058425959832413,0.0,0.0020000000000000018,-0.0007992802821821243,-0.00013047000813060095,0.0,0.01978434804776974,0.00027546379892322455,0.010585146626976183,0.010585146626976183
online,1,29,-15.0,0.005,0.1,1.0,2.0,0.004646744473534109,-0.08740324944727185,0.042735624547051376,0.0,0.0,-0.26506306378920774,-0.0002659564419237592,0.0,0.0020000000000000018,-0.0007992802821821243,0.0004692364394195403,0.0,0.0,0.0004387096727389928,0.00742529635155087,0.00742529635155087
baseline,2,11,-15.0,0.005,0.13,1.0,2.0,0.0023551259347012743,-0.0826609671581906,-0.0012665485078144911,0.0,0.0,-0.24852729800011653,-0.0002891732474790687,0.0,0.0040000000000000036,-0.0007802977927129362,0.00010518910357859568,0.0,0.0,0.00014579478936026236,0.001177613534967037,0.001177613534967037
integral,2,11,-15.0,0.005,0.13,1.0,2.0,0.004370505036844496,-0.08312347939932252,0.030414552863714306,0.0,0.0,-0.30195722096918814,-0.0001620419010366081,0.0,0.0040000000000000036,-0.0007845589122222885,0.000581718267174347,0.0,-0.03397471457236634,0.0002793936142589208,-0.0008282795854963609,-0.0008282795854963609
