method,training_run_id,policy_sha256,case,scenario_seed,simulation_seed,wall_time_constant_s,wall_sliding_friction,wall_yaw_deg,position_noise_std_m,force_noise_std_n,force_bias_n,measurement_delay_ms,bias_compensation_scale,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,fallback_count,policy_update_count,torque_context_fallback_count,residual_rms_n,residual_torque_projection_pct,residual_mean_projection_scale,nominal_torque_projection_pct,nominal_mean_projection_scale,nominal_projection_fallback_count,gate_pass,failed_checks
fixed_hybrid,,,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,hybrid,blind_00,9.759340720336278,32.4659070008297,10.398501148164334,6.459851630956997,100.0,23.384230587684023,0.0,211.9706,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,force_rmse
adaptive_hybrid,,,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,adaptive_hybrid,blind_00,3.293177765229293,41.59467125008912,9.047135238935958,6.753153548029852,100.0,22.850286703749976,0.0,338.02609999999993,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
safe_adaptive_hybrid,,,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,safe_adaptive_hybrid,blind_00,3.442519767394665,39.18624769304269,8.715588356526435,6.752274506469062,100.0,22.79390887383974,0.0,481.5768,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
torque_residual_run_00,run_00,b37c7ceb9c9191837877fe96d975554ed164a84903691e3f3e9244788a290ddb,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,torque_residual_run_00,blind_00,2.8138197679821837,45.35698300606364,10.650102471704756,6.7637057450881715,100.0,22.75882260835012,0.0,1781.9115,0,226,0,2.600321057964005,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
torque_residual_run_01,run_01,63528b5f5144cfd79c6557c888a487332702b572d71f0314cdc1ae7322f0384b,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,torque_residual_run_01,blind_00,2.9865332787353145,43.738909094957435,10.201272998607811,6.75664161593733,100.0,22.774943111595874,0.0,1819.4275499999999,0,226,0,2.089508327884984,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
torque_residual_run_02,run_02,47fb010b562f8d69d5c92eea398c37835d1f11e8015e0669129ff80a807dbfcc,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,torque_residual_run_02,blind_00,3.076758484879505,44.0160406156185,9.827265826023158,6.75451124057397,100.0,22.78992679789837,0.0,946.2543999999998,0,226,0,2.038703219798687,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
torque_residual_run_03,run_03,3f50ce6be439066204dfc37949ce8f27b685a445f7572f8a7e99aaa27d5fc724,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,torque_residual_run_03,blind_00,3.0275161174107184,42.656115119068595,10.212293184562268,6.7573582281327225,100.0,22.77033396990168,0.0,1010.9483499999997,0,226,0,1.9142643199856328,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
torque_residual_run_04,run_04,6f01e1bb0eb3c36a43dbf54d6d0da779c57eba9cb18be4027d4f01d38dcee7bc,blind_00,16301434959511870338,1237627388685738049,0.009887234693174861,0.8821636366814103,3.052729140061988,0.0002289770139691858,0.19046792354407024,-1.377518591542891,8,0.851194790383711,torque_residual_run_04,blind_00,3.0071525344777585,44.60177317261878,10.485600125545956,6.7550477697036095,100.0,22.776841628016626,0.0,1808.0481499999999,0,226,0,2.1728664923149115,0.0,1.0,0.0,1.0,0,no,force_rmse;peak_force
fixed_hybrid,,,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,hybrid,blind_01,1.5093264522682532,35.8802868009113,20.885122451511023,1.9489424529677293,100.0,22.848919580968875,0.0,268.4031,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,peak_force;tangent_rmse
adaptive_hybrid,,,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,adaptive_hybrid,blind_01,1.3205785031659136,37.72389503403627,16.117968056275533,1.9829455163619674,100.0,23.003610537466,0.0,424.45935,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,peak_force;tangent_rmse
safe_adaptive_hybrid,,,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,safe_adaptive_hybrid,blind_01,1.3206305070530053,37.72414094389947,16.118075680210787,1.982941608114329,100.0,23.003600692098953,0.0,644.5068,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,peak_force;tangent_rmse
torque_residual_run_00,run_00,b37c7ceb9c9191837877fe96d975554ed164a84903691e3f3e9244788a290ddb,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,torque_residual_run_00,blind_01,1.4374937691789162,38.93227225788305,13.557056061031656,1.9829814646005908,100.0,22.95847381720968,0.0,1819.49425,0,226,0,2.8265577932454495,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_01,run_01,63528b5f5144cfd79c6557c888a487332702b572d71f0314cdc1ae7322f0384b,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,torque_residual_run_01,blind_01,1.3466749826273907,37.73774161937632,13.75075407914738,1.9841075912842205,100.0,22.943688643433003,0.0,1081.6316499999998,0,226,0,2.595552569528108,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_02,run_02,47fb010b562f8d69d5c92eea398c37835d1f11e8015e0669129ff80a807dbfcc,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,torque_residual_run_02,blind_01,1.4185904890406604,38.49640928064166,13.419597903236287,1.9848105755095315,100.0,22.986508106706857,0.0,854.2761499999999,0,226,0,2.8579932154668604,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_03,run_03,3f50ce6be439066204dfc37949ce8f27b685a445f7572f8a7e99aaa27d5fc724,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,torque_residual_run_03,blind_01,1.4016911437059785,37.512954744958044,14.009824972162836,1.9853265290179833,100.0,22.968284405823166,0.0,806.6738999999995,0,226,0,2.4640977174530545,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_04,run_04,6f01e1bb0eb3c36a43dbf54d6d0da779c57eba9cb18be4027d4f01d38dcee7bc,blind_01,17525301306413689991,6910629524156363117,0.012582029739685018,0.8318232671722412,-4.147700028969988,0.0003998300046520015,0.6162307257546606,-0.794574134650318,14,1.0567888878937712,torque_residual_run_04,blind_01,1.4107839030549176,38.133897399484034,13.977003960457532,1.9857433009044594,100.0,22.95651560425479,0.0,1044.7817,0,226,0,2.6132842163009165,0.0,1.0,0.0,1.0,0,no,peak_force
fixed_hybrid,,,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,hybrid,blind_02,1.2232498741108235,36.32964319104509,7.955956474023577,2.068993330586862,100.0,24.506863698792024,0.0,268.20295,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,peak_force
adaptive_hybrid,,,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,adaptive_hybrid,blind_02,1.2170342410120076,38.146443928634085,7.020805265446134,2.073793575671116,100.0,24.55262349396416,0.0,367.62185,0,0,0,0.0,0.0,1.0,0.0,1.0,0,no,peak_force
safe_adaptive_hybrid,,,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,safe_adaptive_hybrid,blind_02,1.1079614001703104,34.85128290173455,7.028249475675391,2.073517108415721,100.0,24.556674892036316,0.0,647.13865,0,0,0,0.0,0.0,1.0,0.0,1.0,0,yes,
torque_residual_run_00,run_00,b37c7ceb9c9191837877fe96d975554ed164a84903691e3f3e9244788a290ddb,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,torque_residual_run_00,blind_02,1.2395084211182457,38.968981584850745,7.537909831183953,2.0574401896084296,100.0,24.61578943915955,0.0,1851.3713499999997,0,226,0,2.6785238898556623,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_01,run_01,63528b5f5144cfd79c6557c888a487332702b572d71f0314cdc1ae7322f0384b,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,torque_residual_run_01,blind_02,1.173027927251463,37.370749805285655,7.324624666771302,2.058554127588116,100.0,24.582359926421155,0.0,1729.3443499999996,0,226,0,2.320684866080037,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_02,run_02,47fb010b562f8d69d5c92eea398c37835d1f11e8015e0669129ff80a807dbfcc,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,torque_residual_run_02,blind_02,1.2070003036218284,39.10221203574709,7.090257845442642,2.0593967225813508,100.0,24.615195014886826,0.0,1119.3620999999998,0,226,0,2.4032476036602834,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_03,run_03,3f50ce6be439066204dfc37949ce8f27b685a445f7572f8a7e99aaa27d5fc724,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,torque_residual_run_03,blind_02,1.2231651331882805,38.11785024933181,7.449254762481052,2.0616393437011356,100.0,24.598074190676545,0.0,1283.341799999999,0,226,0,2.1502367101135995,0.0,1.0,0.0,1.0,0,no,peak_force
torque_residual_run_04,run_04,6f01e1bb0eb3c36a43dbf54d6d0da779c57eba9cb18be4027d4f01d38dcee7bc,blind_02,9582396171392131757,11510007187665870296,0.0050004061472502265,0.5045178125612781,-0.3277435039229264,0.0006421300511874154,0.6302556573838245,0.1800175446341572,12,0.946462228212979,torque_residual_run_04,blind_02,1.234258775070554,37.83255412546101,7.5929111371344264,2.0591158640852307,100.0,24.613523998430434,0.0,913.8205499999992,0,226,0,2.342725177052644,0.0,1.0,0.0,1.0,0,no,peak_force
fixed_hybrid,,,blind_03,2020940413233927572,6354302425675587931,0.0051846536748153035,0.42246682253752366,-0.8671136766021013,4.301117330204543e-05,0.40630741871254694,-0.13281593873606767,16,0.9490837671907363,hybrid,blind_03,1.0743800614822772,33.31685571626772,7.238728829169719,1.9322765394504497,100.0,24.8266947683741,0.0,215.6886,0,0,0,0.0,0.0,1.0,0.0,1.0,0,yes,
adaptive_hybrid,,,blind_03,2020940413233927572,6354302425675587931,0.0051846536748153035,0.42246682253752366,-0.8671136766021013,4.301117330204543e-05,0.40630741871254694,-0.13281593873606767,16,0.9490837671907363,adaptive_hybrid,blind_03,1.0956273675024597,34.7329295991032,6.328458587228916,1.9354885749330297,100.0,24.846666752013046,0.0,362.0646,0,0,0,0.0,0.0,1.0,0.0,1.0,0,yes,
safe_adaptive_hybrid,,,blind_03,2020940413233927572,6354302425675587931,0.0051846536748153035,0.42246682253752366,-0.8671136766021013,4.301117330204543e-05,0.40630741871254694,-0.13281593873606767,16,0.9490837671907363,safe_adaptive_hybrid,blind_03,1.095638619093577,34.733205174869,6.3285190267705715,1.9354914100939693,100.0,24.84666982142058,0.0,541.61405,0,0,0,0.0,0.0,1.0,0.0,1.0,0,yes,
