analysis_identity,case_index,case,scenario_seed,simulation_seed,verified_metric_max_abs_error,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,frozen_peak_force_n,replay_peak_force_n,frozen_gate_pass,frozen_failed_checks,peak_gate_failed,first_raw_contact_time_s,contact_confirm_time_s,contact_blend_99_time_s,global_peak_time_s,global_peak_after_first_contact_s,global_peak_force_n,global_peak_contact_phase,global_peak_motion_phase,post_contact_peak_time_s,post_contact_peak_force_n,post_contact_peak_contact_phase,post_contact_peak_motion_phase,peak_minimum_torque_headroom_nm,peak_contact_blend,peak_governed_normal_lead_m,peak_torque_projection_scale,peak_linear_velocity_x_m_s,peak_linear_velocity_y_m_s,peak_linear_velocity_z_m_s,peak_target_linear_velocity_x_m_s,peak_target_linear_velocity_y_m_s,peak_target_linear_velocity_z_m_s,peak_commanded_force_x_n,peak_commanded_force_y_n,peak_commanded_force_z_n,peak_commanded_torque_x_nm,peak_commanded_torque_y_nm,peak_commanded_torque_z_nm
post_reveal_replay:v0.5,0,blind_00,16301434959511870338,1237627388685738049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.18624769304269,39.18624769304269,no,force_rmse;peak_force,True,1.25,1.282,1.776,2.472,1.222,39.18624769304269,blended_contact,wiping,2.472,39.18624769304269,blended_contact,wiping,8.698370062051053,1.0,0.01,1.0,0.0014731804474067828,0.014462604892667036,-0.04861661627792695,0.0,-0.0019105120222692768,-0.050246274672333786,14.817858102294526,1.1106269805102997,-0.6138892959448683,0.08228400443412029,2.288219868001559,0.04194484884865517
post_reveal_replay:v0.5,1,blind_01,17525301306413689991,6910629524156363117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.72414094389947,37.72414094389947,no,peak_force;tangent_rmse,True,0.47600000000000003,0.512,1.006,2.7760000000000002,2.3000000000000003,37.72414094389947,blended_contact,wiping,2.7760000000000002,37.72414094389947,blended_contact,wiping,7.935059610827301,1.0,0.009959067354970985,1.0,0.007609166015453105,-0.012515044868063034,-0.050398613595312766,0.0,-0.02752857931041643,-0.046106256587836306,10.440765350893585,-1.8270832242934825,-14.154126644663107,0.1116551253647549,-0.9251207053609655,0.005800933337658125
post_reveal_replay:v0.5,2,blind_02,9582396171392131757,11510007187665870296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.85128290173455,34.85128290173455,yes,,False,0.774,0.8280000000000001,1.322,2.728,1.9540000000000002,34.85128290173455,blended_contact,wiping,2.728,34.85128290173455,blended_contact,wiping,7.527349148353945,1.0,0.009893823296107107,1.0,0.0025697698186832665,-0.011409883410918864,-0.04805535646006319,0.0,-0.023656871003945687,-0.047229300245524956,13.490378407185496,-1.2024863052522625,-3.7806396234538275,0.11578597861014579,0.5674346382568166,0.03914762498126878
post_reveal_replay:v0.5,3,blind_03,2020940413233927572,6354302425675587931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.733205174869,34.733205174869,yes,,False,0.768,0.806,1.3,3.0100000000000002,2.242,34.733205174869,blended_contact,wiping,3.0100000000000002,34.733205174869,blended_contact,wiping,7.312726817870329,1.0,0.009935331257303281,1.0,0.00624839332248928,-0.03602125557506906,-0.04219412249384773,0.0,-0.04472129761721702,-0.03832454066204992,13.480122432902634,-2.9806550690429994,-2.609283732488154,0.12576968201150193,0.5016645531587302,0.03851735818823012
post_reveal_replay:v0.5,4,blind_04,4577279984682491532,6078883991136184361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.00525633384989,30.00525633384989,yes,,False,0.386,0.43,0.924,1.8780000000000001,1.492,30.00525633384989,blended_contact,wiping,1.8780000000000001,30.00525633384989,blended_contact,wiping,6.671118439238004,1.0,0.009708091986513456,1.0,0.009737323759342862,0.0618547960532943,-0.02624354730816024,0.0,0.04551082351215618,-0.037829742801948216,10.26732104671733,4.971928869271368,-10.445933619772044,0.16838692995254032,-1.419928276024293,0.1112587745335772
post_reveal_replay:v0.5,5,blind_05,12532684049207094977,15871473360209801291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.051466746250966,38.051466746250966,no,peak_force,True,0.64,0.6880000000000001,1.182,0.72,0.07999999999999996,38.051466746250966,confirmed_transition,pre_wiping,0.72,38.051466746250966,confirmed_transition,pre_wiping,5.269982007388345,0.06800000000000003,0.006753706728966857,1.0,0.09125607347953321,-0.0029128945656372706,0.045441197159949806,0.0,0.0,0.0,11.301676246174594,-0.3397053964165687,3.160395226098832,-0.09976337372560357,-1.0359032543131401,-0.1430207726986287
post_reveal_replay:v0.5,6,blind_06,7882380471846633001,1368606503599248569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.481012503669525,31.481012503669525,yes,,False,0.438,0.46,0.9540000000000001,2.824,2.3859999999999997,31.481012503669525,blended_contact,wiping,2.824,31.481012503669525,blended_contact,wiping,7.3958473959902165,1.0,0.009422072995111497,1.0,0.007118323649414952,-0.019947620738929955,-0.04713137497099347,0.0,-0.03130015989799235,-0.0448155139636714,11.045843528277956,-1.8524778146673755,-10.037528174485667,0.18767575278338278,-0.680067427576087,0.08733584345981059
post_reveal_replay:v0.5,7,blind_07,5165992133808271741,4212905083092472312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8706377266179,36.8706377266179,no,peak_force;tangent_rmse,True,0.386,0.422,0.916,2.87,2.484,36.8706377266179,blended_contact,wiping,2.87,36.8706377266179,blended_contact,wiping,7.865773183537283,1.0,0.01,1.0,0.005336120479743113,-0.02180741793730264,-0.048694737063278676,0.0,-0.0348079369095981,-0.04342552737147524,9.34811119329725,-2.6148283680098885,-14.925419234840751,0.1477235098584122,-1.2308939146683475,0.038725087902034876
post_reveal_replay:v0.5,8,blind_08,16600002752657376626,10536290159291755175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67738321679262,32.67738321679262,yes,,False,0.664,0.6940000000000001,1.188,2.802,2.138,32.67738321679262,blended_contact,wiping,2.802,32.67738321679262,blended_contact,wiping,7.332792032637258,1.0,0.01,1.0,0.0059747818453309495,-0.01769430693338688,-0.046719421441134786,0.0,-0.02958483198823267,-0.045427635649644485,11.597513231041772,-2.002934364720786,-7.418216354453373,0.12581302082558704,-0.42275561460062283,0.032433836218213774
post_reveal_replay:v0.5,9,blind_09,4727713754755130212,15747546615271449326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.677212503924416,34.677212503924416,no,tangent_rmse,False,0.342,0.366,0.86,1.726,1.384,34.677212503924416,blended_contact,wiping,1.726,34.677212503924416,blended_contact,wiping,6.80039330223835,1.0,0.009446433741296056,1.0,0.008117690823921199,0.07365249235525029,-0.02027778682134071,0.0,0.0545583183787584,-0.030857954926505296,9.85595406843539,5.002970624107762,-11.328802194735028,-0.09751671537339954,-1.4601387128430545,-0.06968827448570973
