epoch,train_action_mse,train_normal_mse,train_tangent1_mse,train_tangent2_mse,validation_action_mse,validation_normal_mse,validation_tangent1_mse,validation_tangent2_mse
1,0.15049952575564465,0.0011568045649179553,0.23394739627096578,0.21639437643105022,0.1868244674274868,0.0010764847241374557,0.32408457121231254,0.2353123463460102
2,0.05588849686650681,0.000754929455878178,0.06011057896845918,0.10679998217518304,0.0589935180214704,0.0005422743691589035,0.06669428802436715,0.10974399167088514
3,0.019897257426513545,0.00010805812247660983,0.026318499593883337,0.03326521456318068,0.012512825676424085,8.86886407870496e-05,0.015492123756056604,0.021957664632428604
4,0.015774372149221408,7.726579051277038e-05,0.022775437795913747,0.024470412861237714,0.007673366187107185,5.54272262543469e-05,0.009940424469574358,0.013024246865492849
5,0.014763209091423134,6.0914010249291304e-05,0.020997382224881254,0.023231331039138856,0.007075257776723524,4.6327924030141044e-05,0.008599784559038539,0.012579660847101893
6,0.014183686133526881,4.924546960067503e-05,0.020233041633732903,0.02226877129724706,0.00719894680938526,4.21624002227821e-05,0.009351683727847039,0.012202994300085956
7,0.013240905143923438,4.006310805139241e-05,0.018141129537257702,0.021541522786461223,0.006753330656230256,3.3808845679910206e-05,0.007801043315409862,0.012425139807600995
8,0.01280943626287761,3.323828936756622e-05,0.01749014926265876,0.020904921236606505,0.006614210693736373,3.142406074860557e-05,0.007557493825120494,0.012253714195340023
9,0.01234359810481146,2.860222166126689e-05,0.016448002088871892,0.020554190003901216,0.006554238604071257,2.9033700768519254e-05,0.007580733536362599,0.012052948575082652
10,0.011808465075299522,2.502536950569638e-05,0.015447256150953912,0.01995311370543896,0.006511107572585928,2.509793301836658e-05,0.007018155720377438,0.012490069064361974
11,0.01139725103296527,2.21383963438855e-05,0.01464283580489788,0.01952677889765404,0.006959635042607909,2.458453119057457e-05,0.006931909907453588,0.013922410689179567
12,0.011056591070247502,1.971584785807003e-05,0.01386573037438361,0.019284326988500827,0.0071345260216494925,2.0786661078026858e-05,0.006744826576050797,0.014637964827819653
13,0.010692691576834078,1.7475308376472935e-05,0.013136863508034828,0.018923735914090932,0.0071404390990568644,2.044198350987074e-05,0.00643238164842446,0.014968493665236261
14,0.010382969253650075,1.5469882374064494e-05,0.012527840156146351,0.01860559772242981,0.0070283556203490135,1.8661064099016703e-05,0.006322929496648601,0.014743476300299424
15,0.010426115585031374,1.4338584396312821e-05,0.011962376737584731,0.019301631433113073,0.00835126788830333,1.8600770189721632e-05,0.00612186776328086,0.018913335131439404
16,0.010007629307517077,1.3034580841161204e-05,0.011727583165322776,0.018282270176387297,0.006880763331320818,1.8396353881261786e-05,0.005983768175997901,0.014640125464083293
17,0.009736222208682928,1.224498642200484e-05,0.011006067474565033,0.01819035416506175,0.00792882002952751,1.7341380785159045e-05,0.006235980291873438,0.017533138415923934
18,0.009626652813649059,1.2223952307557982e-05,0.010941515682612514,0.0179262188060271,0.006983368273008939,1.777231169794968e-05,0.00581557727068953,0.01511675523663934
19,0.009317717408530568,1.0661337081204344e-05,0.010260727947636952,0.017681762940873546,0.00732095551066525,1.7298485795366153e-05,0.005971107542218657,0.015974460503981727
20,0.00914936164949023,1.0078982249192584e-05,0.00978577211728124,0.01765223384894026,0.008251399259382567,1.6409640437248774e-05,0.006007682372567202,0.018730105765143248
21,0.008923465420139469,9.707574793466749e-06,0.00953813813532131,0.01722255055030363,0.007639438371003565,1.5941696135610245e-05,0.005848621935504236,0.017053751481370845
22,0.00882900817727655,9.5613939678993e-06,0.009392626272155591,0.01708483686570616,0.007741713951208764,1.7121362735087614e-05,0.006707347421045687,0.016500673069845515
23,0.008714583093705305,8.90386981144055e-06,0.009294479133908528,0.016840366277395945,0.007770805340658873,1.4958492700884301e-05,0.005811471982084528,0.017485985547191208
24,0.008487939924885241,8.630263828801395e-06,0.008656897342963715,0.016798292167863205,0.0075481989278459736,1.4497153880047864e-05,0.006336099966554439,0.01629399966310343
25,0.008310976026586392,8.446601186451766e-06,0.00834941408908091,0.016575067389491816,0.007530555856236666,1.4856963327944288e-05,0.0059078337807529436,0.016668976824629107
26,0.008160605004613327,8.187672351081843e-06,0.00836123604059212,0.01611239130089678,0.007955604169060127,1.5137585914153576e-05,0.0055842093520602435,0.01826746556920598
27,0.008422351140915831,8.593348445832337e-06,0.008587664165968189,0.016670795908333473,0.007836042272867627,1.6137428839445747e-05,0.007480092683731522,0.016011896706031915
28,0.007904242901431087,9.19267702796926e-06,0.007843008312798043,0.015860527714467252,0.007742954263769898,1.2658986644349087e-05,0.005678922360073657,0.017537281444591685
29,0.007678068331370566,8.846253561004488e-06,0.007506345565961548,0.015519013174589145,0.009058835552435812,1.4518806479916264e-05,0.006132393043785487,0.021029594807042026
30,0.007524431586688676,9.450851875514512e-06,0.007584027720311392,0.01497981618787912,0.008667904153220414,1.5541010825889927e-05,0.006597494230908776,0.01939067721792658
31,0.007391191100429992,1.2783306959103312e-05,0.007501552662318858,0.014659237332012012,0.008481326530306487,1.9606978500491372e-05,0.006728665981955179,0.018695706630463795
32,0.007092438199791326,1.0815015731885798e-05,0.006905600350056127,0.014360899233585972,0.008637223304359228,1.7622196694695343e-05,0.0058178516972711486,0.020076196019111838
33,0.007225588699315179,1.2008003268813892e-05,0.007075968298318404,0.014588789796358324,0.009925193251802597,1.7531846343707613e-05,0.005953234089011152,0.023804813820052933
34,0.006753475333915549,1.3228980419732051e-05,0.006535842523219206,0.013711354498107712,0.007827591001092262,1.8405576911473503e-05,0.0055489446660801816,0.017915422760285134
35,0.006499830301046144,1.2791680599064245e-05,0.006358853574060633,0.013127845648478733,0.008053759427065085,1.9240655106718136e-05,0.005303643884482134,0.018838393741606403
36,0.006396928959181076,1.369556967505493e-05,0.006590023879104747,0.012587067428763424,0.008088502408839479,1.9337216981983086e-05,0.005222867217846405,0.019023302791690046
37,0.006152005782742945,1.6028624930879173e-05,0.006092638646895429,0.01234735007640253,0.007514566363339132,2.377806586317536e-05,0.004961476197547237,0.01755844482660698
38,0.005939100014512675,1.3748810462597585e-05,0.00601086045136775,0.011792690781707674,0.007810600948724409,2.219937063167329e-05,0.0049376496547785,0.018471953820763054
39,0.005800094792536762,2.9241874752621145e-05,0.005800076888274467,0.011570965614583196,0.00863901621459813,3.4639811748171575e-05,0.004856372243005697,0.021026036589040526
40,0.005603171343944735,1.301332776008137e-05,0.005849900630978223,0.010946600073095902,0.008102243713449565,1.9354146913977712e-05,0.005081309161661754,0.019206067831772967
41,0.005546964758876988,1.8787916044970027e-05,0.00550014328466114,0.011121963075924852,0.007083768848034378,2.6584081193017707e-05,0.004730921016687382,0.016493801446222735
42,0.005181018964062654,1.4238259157388274e-05,0.005367874657837611,0.010160943975192962,0.00813176105178218,2.0953241362329714e-05,0.004758637351127268,0.01961569256285694
43,0.005152850501928872,8.837414165377541e-06,0.005544670607835325,0.009905043483785913,0.008155482405634587,1.5212119537023027e-05,0.004990258534614706,0.01946097656275203
44,0.0049550477463874264,8.55195830897229e-06,0.005190541849796092,0.009666049431057217,0.006653478074344033,1.4073811538540589e-05,0.004743869848745952,0.0152024905627476
45,0.004841558332156071,8.534381881207427e-06,0.005462700543522373,0.009053440071064633,0.007995671467235328,1.332769903708804e-05,0.005323552644693483,0.01865013405797541
46,0.0044711416757663965,1.120694321619367e-05,0.004969580600427972,0.008432637483655024,0.006858176943768629,1.4266842255363425e-05,0.004827349039826673,0.01573291494922385
47,0.004308498683742049,9.204094301081884e-06,0.004975621276314152,0.007940670680610913,0.006830289517604523,1.4817946056643467e-05,0.004935020476263735,0.015541030130493192
48,0.004082617086052633,9.657837688643372e-06,0.004740003364905845,0.007498190055563411,0.006720884944903593,1.3673545555953533e-05,0.004912395219638892,0.015236586069515931
49,0.004104674816140929,9.881253990106558e-06,0.005179066280377932,0.00712507691405475,0.005918134608426576,1.4635336662085564e-05,0.005657168960387063,0.01208259952823058
50,0.0036554064034426616,1.2054538275431487e-05,0.004510405969471115,0.006443758702581439,0.005868743565240057,1.4611835940678677e-05,0.004970147457619581,0.012621471402159908
51,0.003469541782916332,1.2263288898995073e-05,0.00441933331883602,0.005977028741013981,0.005786134591150181,1.62997929892233e-05,0.004896898349121582,0.012445205631339738
52,0.0033964523740209465,1.0936675192740832e-05,0.004329546123040357,0.005848874323829744,0.004924022485094788,1.6782982082548815e-05,0.005150282994484545,0.00960500147871727
53,0.003137737223691462,1.252631394659579e-05,0.004211010201826758,0.005189675155301032,0.005259660123050704,2.074225707963829e-05,0.004945954994672315,0.010812283117400158
54,0.003125775155310006,1.3696519602305934e-05,0.00418348610924533,0.005180142837082383,0.00569149544009499,1.7947804679913556e-05,0.005074177021191181,0.011982361494413878
55,0.0028743364985852815,1.2055412545842786e-05,0.00397993307984618,0.004631021003363821,0.004582494559261,1.856701542104164e-05,0.005163261569197522,0.008565655093164436
56,0.0027700714018997247,1.267346212241354e-05,0.003960311803017497,0.004337228940559261,0.004772195391268793,2.2111440646449507e-05,0.004998017106942101,0.00929645762621783
57,0.0026688978086430756,1.1926614440068672e-05,0.0037982113311566816,0.004196555480332477,0.004285218597486516,1.7114786565537284e-05,0.0050498928691682,0.007788648136725813
