epoch,train_action_mse,train_normal_mse,train_tangent1_mse,train_tangent2_mse,validation_action_mse,validation_normal_mse,validation_tangent1_mse,validation_tangent2_mse
1,0.14685248334233172,0.0006999300704374471,0.2382053710434,0.2016521489131577,0.18670330373027064,0.0006737706671153477,0.3352824685767716,0.22415367194692506
2,0.0518307835026497,0.0002884969893422642,0.06523955746360094,0.08996429605500592,0.06181176997187438,0.0002656481559112437,0.08188065067707262,0.10328901108263927
3,0.017907568603296464,7.166859122590872e-05,0.025348872050794787,0.028302165167868695,0.014344797447094382,5.744033050224753e-05,0.01860373037827987,0.024373221632501028
4,0.015811573715448335,5.501093007002351e-05,0.022788613639861087,0.024591096576413896,0.009159404604559223,3.8870724236432984e-05,0.011650396920927996,0.01578894616851324
5,0.015691158588054487,4.29743322531058e-05,0.022657315885955917,0.024373185545954447,0.008802775876206165,2.8406952096351935e-05,0.010595712620563089,0.015784208055959058
6,0.0156643342899231,3.285469681222585e-05,0.022643206361682412,0.024316941811274667,0.008854751102187669,2.2531607462867668e-05,0.010600079656714051,0.01594164204238609
7,0.015664883964437173,2.5222563909732573e-05,0.022657206497570546,0.02431222283183123,0.008837210824446221,1.4761771955752017e-05,0.010539107820507926,0.015957762880874984
8,0.015630078826428577,1.9685902714167877e-05,0.02259439991925413,0.024276150657317426,0.008775174866645835,1.1064683399956114e-05,0.010553228944714171,0.015761230971823383
9,0.01561717827746768,1.637937663491958e-05,0.022643456872253054,0.02419169858351506,0.008799297022136178,9.308378929660947e-06,0.010647963273994662,0.01574061941348421
10,0.015595907692903914,1.391366359112468e-05,0.02261346825671625,0.024160341158404364,0.008743272787629227,7.061753095269622e-06,0.010563576640085358,0.015659179969707056
11,0.015565560541206796,1.2283375244578648e-05,0.02259388837521021,0.024090509873165605,0.008675022890780483,6.739985366150227e-06,0.010394704811413294,0.015623623875562001
12,0.015540085760693562,1.1541173985951846e-05,0.02253236523298122,0.02407635087511352,0.00865072296252336,6.8922206735045426e-06,0.010396008228450838,0.015549268438445734
13,0.015494774481463712,1.1067136136161063e-05,0.02248769635914721,0.023985559949107754,0.008691621915937288,7.20136716618869e-06,0.0104365326755561,0.015631131705089577
14,0.015503131299637506,1.1229657141892697e-05,0.022590358335401836,0.02390780590636879,0.008665650558758288,8.28422887930005e-06,0.010542315499493912,0.015446351947901655
15,0.015430835292982208,1.1555163615049686e-05,0.022435874868273416,0.023845075847058153,0.008667435243657784,7.871803736271092e-06,0.010400799849276358,0.015593634077960725
16,0.015392315899278712,1.1435321993646002e-05,0.02244066707539624,0.023724845300446253,0.00853028167963794,8.90189363244416e-06,0.010298274769874183,0.015283668375407195
17,0.015395183760010232,1.1534923201538747e-05,0.02254195087181466,0.023632065485014498,0.008522472239633136,9.878162570159816e-06,0.010388394772400878,0.01516914378392837
18,0.0152833089650986,1.2601769230874571e-05,0.022333148220018202,0.023504176906046725,0.008482926552359679,1.07898177454678e-05,0.010303874231333322,0.01513411560800025
19,0.015226188916670939,1.1877792565528284e-05,0.022254734887359316,0.023411954070087976,0.008469992578277179,9.951180882118918e-06,0.010529754452815326,0.014870272101134091
20,0.015202022635578344,1.2287651754465231e-05,0.02233140797935284,0.023262372275627725,0.008556356415331742,1.0901192667842653e-05,0.010569335882011564,0.015088832171315826
21,0.015164627370753697,1.2752441795023576e-05,0.022211103477407235,0.023270026193058825,0.008546350114411495,9.857384431371284e-06,0.010524658397321968,0.015104534561481142
22,0.015016164225633177,1.3234943368841886e-05,0.02214163465443661,0.02289362307909408,0.0083723918703749,1.035954207058762e-05,0.01037746819288077,0.01472934787617334
23,0.014938091423251558,1.3530841655836825e-05,0.02203922133782041,0.022761522090278423,0.008147324673263767,1.295120354190861e-05,0.010189216794033328,0.014239806022216061
24,0.014815246261217689,1.4362608040782912e-05,0.021939989437353993,0.022491386738258286,0.008070944095706741,1.3181335133839426e-05,0.010226865001706302,0.013972785950280085
25,0.014745888887804513,1.4423758005455691e-05,0.021871730829949,0.022351512075459084,0.008192197603429966,1.1260746324478986e-05,0.010392807171526979,0.014172524892438438
26,0.014574937070526369,1.557858561386642e-05,0.021767988081982846,0.021941244543982396,0.00794697001649241,1.5520934022872555e-05,0.010239815694084532,0.013585573421369821
27,0.014416739062998077,1.4998513383970244e-05,0.021664656498422835,0.021570562177187422,0.007847127133912592,1.2711878376882937e-05,0.010313061202184524,0.013215608321176372
28,0.014237264710169536,1.5210674579674537e-05,0.021480625910903772,0.021215957545025168,0.00773073440005649,1.3328134611990403e-05,0.01014910708890675,0.01302976797665073
29,0.014004749994368817,1.6103691073531725e-05,0.021339233138833076,0.02065891315319984,0.007525574760600021,1.5685811162345406e-05,0.010225212793952597,0.01233582567668512
30,0.013779532287989237,1.684764316267195e-05,0.02115549246508263,0.020166256755722412,0.007616666266046423,1.6898177027957926e-05,0.010439954696374524,0.012393145924736787
31,0.013475099733378662,1.7086177466948623e-05,0.02089548774472375,0.019512725277945293,0.007132337758075955,1.6630140811095756e-05,0.010234957198080192,0.011145425935336576
32,0.013184273772953236,1.6705012405639192e-05,0.02063898467929449,0.01889713162715958,0.00704049406134526,1.54876684732723e-05,0.010534362584821778,0.010571631930740729
33,0.012882950632806037,1.7102262455247466e-05,0.0204593885115825,0.018172361124380365,0.0068329725604988545,1.786305519296408e-05,0.010347883781586477,0.010133170844717125
34,0.012448784119024833,1.4956860385620275e-05,0.02001133343803223,0.01732006205865665,0.006581094370592197,1.61180357919755e-05,0.010365336464169967,0.009361828611814645
35,0.012048754342065553,1.6581729401029297e-05,0.01959903670381628,0.016530644592979343,0.006311615024369912,1.6866254461860133e-05,0.010546926249337157,0.008371052569310722
36,0.011656054128005579,1.1667096059986385e-05,0.019211280983982608,0.01574521430397414,0.006233798520415416,1.2547471918290326e-05,0.010438183686254009,0.008250664403073952
37,0.011225865394507616,9.996350201497408e-06,0.018665294427739558,0.01500230540558179,0.005723278484252738,1.0301352229173427e-05,0.009977647284725676,0.007181886815803363
38,0.010829994921817049,9.229029797012864e-06,0.01809246921343502,0.01438828652221912,0.005961023724248631,9.423568154661294e-06,0.010674567906834662,0.007199079697756572
39,0.010466968328913227,8.695602232624694e-06,0.01746776541942903,0.013924443965078026,0.005834617042139534,9.827724660614096e-06,0.010739540571498321,0.0067544828302596675
40,0.010114206013096304,6.503433888189646e-06,0.01681831890614394,0.013517795699256782,0.005768894821297404,6.584889112615488e-06,0.01087199784767837,0.0064281017271012285
41,0.009791246056323128,4.791225567482395e-06,0.016127594904883632,0.013241352038518272,0.005626302044085837,4.984526682989809e-06,0.010556249198374577,0.00631767240719994
42,0.00950873295757961,3.4681005738649275e-06,0.015443861592340624,0.013078869179824334,0.005806074219847163,3.1500274059863382e-06,0.010836936862327484,0.006578135769808021
43,0.009217220401450147,3.640971873883943e-06,0.014704569413398764,0.012943450819077796,0.00551066237402763,2.82126598281952e-06,0.010446729001496017,0.006082436854604055
44,0.00896255771048282,5.804065919480042e-06,0.014032189411300298,0.01284967965422868,0.00569763813690938,3.6019936770857128e-06,0.010678545779107608,0.00641076663794345
45,0.008738599052711056,6.807230851861201e-06,0.013432603465605843,0.012776386461675464,0.005532910229683093,6.143103983209524e-06,0.010203555162433039,0.0063890324226330295
46,0.008511183855073875,7.303009883733016e-06,0.012786651465287452,0.01273959709005044,0.005731195547454454,5.295599544624256e-06,0.010506686197937182,0.006681604844881551
47,0.008337247260964195,8.397315682305403e-06,0.012267923399763521,0.012735421067446755,0.00597522407315596,5.478173129714242e-06,0.011121332333650551,0.006798861712687616
48,0.00814133810757094,9.15185278075877e-06,0.011728516164841692,0.012686346305090366,0.005596103904413661,6.545812126359173e-06,0.010524767862588765,0.0062569980385258584
49,0.007981096178876922,8.68146015383023e-06,0.011318873496225982,0.012615733580250955,0.006065277898235664,5.879007864266434e-06,0.011568553570216971,0.006621401116625756
50,0.007808588819150182,1.3086860692804037e-05,0.010856503478852017,0.01255617611790572,0.006062896172748447,8.240032072773401e-06,0.011787145696603461,0.006393302789569112
51,0.007669929900101118,9.768364404017378e-06,0.01052342765490254,0.012476593680996798,0.005684443522152624,6.4017636803167825e-06,0.01094614524030035,0.006100783562477203
52,0.007532674351517073,1.050137204585072e-05,0.01011926930395628,0.012468252378549087,0.006062885498216371,6.555243316214763e-06,0.011586571669361735,0.006595529581971166
53,0.007384686852698729,1.270388056257455e-05,0.00982766696079413,0.012313689716739483,0.005922033042528529,7.15660227891403e-06,0.011912494097209979,0.005846448428096696
54,0.007216421785456408,1.2219400373780554e-05,0.009456412834328787,0.012180633121666656,0.005542287440996505,8.080305061536715e-06,0.01096230958314947,0.0056564724347785075
55,0.007068095883394201,1.4465444282974029e-05,0.009157087445446778,0.01203273476045285,0.0054266779275619495,1.0617838923495708e-05,0.01014511656754263,0.006124299376219724
56,0.0068773265291267,1.6099146472089692e-05,0.0087058092236622,0.011910071217245811,0.005582019177420125,1.2000284862222893e-05,0.011038155312518587,0.005695901934879564
