category,method,case_index,scenario,simulation_seed,duration_s,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,true_sliding_friction,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,baseline_metric_max_abs_error,case_checks_pass,failed_case_checks
main,baseline,0,surface_dev_00,11,4.5,-15.0,-15.0,0.005,0.1,0.45,True,0.19909314494761735,12.624059704727843,11.828995061078933,100.0,0.0,0.5321491458114765,0.20346831454496242,0.0,0.544,0.7896720654738676,0.6686854250247398,0.0,0.0,0.0,yes,
main,baseline,1,surface_dev_01,29,4.5,-15.0,-15.0,0.005,0.1,0.45,True,0.18742090590158067,12.60758484833638,11.824237757705346,100.0,0.0,0.5323462539043617,0.20836082311656898,0.0,0.546,0.7894230923833692,0.6694703003648287,0.0,0.0,0.0,yes,
main,baseline,2,surface_dev_02,11,4.5,-15.0,-15.0,0.005,0.13,0.45,True,0.2004422915916335,12.625197196463471,11.832130793854938,100.0,0.0,0.5322140854259954,0.2034156836243347,0.0,0.544,0.7881085839672869,0.6665312084473598,0.0,0.0,0.0,yes,
main,baseline,3,surface_dev_03,29,4.5,-15.0,-15.0,0.005,0.13,0.45,True,0.18860887664851844,12.60869351098147,11.8273375893493,100.0,0.0,0.5324117006694147,0.20829941456395382,0.0,0.546,0.7878612005228978,0.6673315573163495,0.0,0.0,0.0,yes,
main,baseline,4,surface_dev_04,11,4.5,-15.0,-15.0,0.012,0.1,0.45,True,0.20124124066885243,12.632031461236583,11.833606709840982,100.0,0.0,0.5326632540128239,0.20394837985274816,0.0,0.544,0.8509739222300126,0.7197517747128072,0.0,0.0,0.0,yes,
main,baseline,5,surface_dev_05,29,4.5,-15.0,-15.0,0.012,0.1,0.45,True,0.19008541644562968,12.609429748505596,11.829326904838029,100.0,0.0,0.5328533754141205,0.20887716141110477,0.0,0.546,0.8507582365731882,0.7210406091351911,0.0,0.0,0.0,yes,
main,baseline,6,surface_dev_06,11,4.5,-15.0,-15.0,0.012,0.13,0.45,True,0.20258380534104312,12.63314377380475,11.836724473723915,100.0,0.0,0.5327276525351355,0.2038927315891159,0.0,0.544,0.8492537704862836,0.7176037084693412,0.0,0.0,0.0,yes,
main,baseline,7,surface_dev_07,29,4.5,-15.0,-15.0,0.012,0.13,0.45,True,0.19127370516293615,12.610598257024302,11.83241264897406,100.0,0.0,0.5329185066541505,0.20881462807842757,0.0,0.546,0.8490392960182891,0.7189091329300249,0.0,0.0,0.0,yes,
main,baseline,8,surface_dev_08,11,4.5,0.0,0.0,0.005,0.1,0.45,True,0.16170201121178762,12.636585788580819,11.753903808698784,100.0,0.0,0.4253331943743285,0.20978947361642725,0.0,0.5740000000000001,0.7897611603013623,0.6670746607498681,0.0,0.0,0.0,yes,
main,baseline,9,surface_dev_09,29,4.5,0.0,0.0,0.005,0.1,0.45,True,0.14908972181948435,12.622467681460728,11.74659028787708,100.0,0.0,0.42563810305943456,0.21510836712317738,0.0,0.5740000000000001,0.7896273381316279,0.6679270435484899,0.0,0.0,0.0,yes,
main,baseline,10,surface_dev_10,11,4.5,0.0,0.0,0.005,0.13,0.45,True,0.16286691517462268,12.6377605415699,11.757046641556816,100.0,0.0,0.42538487445594936,0.2097291953820913,0.0,0.5740000000000001,0.7881989087508492,0.6649000564944509,0.0,0.0,0.0,yes,
main,baseline,11,surface_dev_11,29,4.5,0.0,0.0,0.005,0.13,0.45,True,0.15001951999270155,12.623602954725857,11.749715569514013,100.0,0.0,0.4256905435815614,0.21505012380788294,0.0,0.5740000000000001,0.7880648169046114,0.6657692279870078,0.0,0.0,0.0,yes,
main,baseline,12,surface_dev_12,11,4.5,0.0,0.0,0.012,0.1,0.45,True,0.16537254088790307,12.65162317449773,11.758882210107409,100.0,0.0,0.4257173808377085,0.21032247000802543,0.0,0.5740000000000001,0.8511013179661533,0.7182488017960855,0.0,0.0,0.0,yes,
main,baseline,13,surface_dev_13,29,4.5,0.0,0.0,0.012,0.1,0.45,True,0.15182404096136187,12.628783970392217,11.75104979759688,100.0,0.0,0.4260317742637943,0.21562932954572872,0.0,0.5740000000000001,0.8509045513209537,0.7191005776823813,0.0,0.0,0.0,yes,
main,baseline,14,surface_dev_14,11,4.5,0.0,0.0,0.012,0.13,0.45,True,0.16652624730416576,12.652757751384899,11.762009620501663,100.0,0.0,0.4257683977995422,0.21025784146342982,0.0,0.5740000000000001,0.8493817337996492,0.7160796325664589,0.0,0.0,0.0,yes,
main,baseline,15,surface_dev_15,29,4.5,0.0,0.0,0.012,0.13,0.45,True,0.15274642273897132,12.629880561091165,11.754160363296775,100.0,0.0,0.4260835867213191,0.21556875722487723,0.0,0.5740000000000001,0.8491850282756688,0.7169387185049849,0.0,0.0,0.0,yes,
