case_index,rotation_gain_scale,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,original_compatibility,reference_trace,candidate_trace,start_s,end_s,samples,velocity_rms_6_m_s,velocity_rms_8_m_s,velocity_rms_delta_m_s,along_mse_6_m2_s2,along_mse_8_m2_s2,cross_mse_6_m2_s2,cross_mse_8_m2_s2,along_mean_6_m_s,along_mean_8_m_s,cross_mean_6_m_s,cross_mean_8_m_s,along_variance_6_m2_s2,along_variance_8_m2_s2,cross_variance_6_m2_s2,cross_variance_8_m2_s2,position_rms_6_mm,position_rms_8_mm,position_rms_delta_mm,position_along_mean_6_mm,position_along_mean_8_mm,request_along_mean_6_n,request_along_mean_8_n,request_along_std_6_n,request_along_std_8_n,request_delta_vector_rms_n,mse_delta_m2_s2,weighted_mse_delta_m2_s2
0,1.0,-15.0,0.005,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_00__compact.npz,results/franka_budget_transfer/traces/public24__case00__s1__f8n.npz,1.5,4.5,1500,0.00422270379825673,0.0043827326954995775,0.0001600288972428473,1.5467369841329863e-05,1.7243164345428638e-05,2.363857526481957e-06,1.9651815347723517e-06,0.0017545514452909894,0.0019853841883259752,0.001279545294896842,0.0008934888943055888,1.2388919067157163e-05,1.3301413970173848e-05,7.266213647893098e-07,1.166859130524928e-06,1.3691854242781614,1.3292393835751348,-0.03994604070302658,-0.8040941608856416,-0.43968166022311844,5.942773855271584,6.1170304915423745,0.11007209368979273,0.18417358502606415,0.2022021282525647,1.3771185123891694e-06,1.3771185123891694e-06
0,2.0,-15.0,0.005,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_00__compact.npz,results/franka_budget_transfer/traces/public24__case00__s2__f8n.npz,1.5,4.5,1500,0.004661938251513319,0.004884000820378105,0.0002220625688647863,1.8899070864199694e-05,2.1425840383300908e-05,2.8345973967233655e-06,2.427623630153096e-06,0.001799716333866427,0.0020241092058259054,0.0013443610764374736,0.000953004120894467,1.566009198181408e-05,1.732882230619173e-05,1.0272906928832428e-06,1.51940677571126e-06,1.4116475912808335,1.3823105778498601,-0.029337013430973502,-0.7993787122137525,-0.43596008685092713,5.943058298415444,6.1166944733202,0.11134115172541259,0.18354385392659586,0.20066009760728368,2.1197957525309442e-06,2.1197957525309442e-06
1,1.0,-15.0,0.005,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_01__compact.npz,results/franka_budget_transfer/traces/public24__case01__s1__f8n.npz,1.5,4.5,1500,0.004256555773217722,0.004446773267970561,0.00019021749475283886,1.57008384416918e-05,1.7722223197023036e-05,2.4174286088213174e-06,2.0515692997145444e-06,0.0017460334940941344,0.0019624411510561508,0.0012731546572629098,0.0008999575650474301,1.265220547919323e-05,1.3871047925664446e-05,7.965058275110802e-07,1.241645680828445e-06,1.3642185375712388,1.323232852236424,-0.040985685334814614,-0.7956106387715872,-0.44416510833472617,5.942594962869832,6.110524524497013,0.10700329351325995,0.18179777282437656,0.1975863892164658,1.6555254462244644e-06,1.6555254462244644e-06
1,2.0,-15.0,0.005,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_01__compact.npz,results/franka_budget_transfer/traces/public24__case01__s2__f8n.npz,1.5,4.5,1500,0.004695265445956715,0.004952436366149001,0.0002571709201922862,1.9146866864076017e-05,2.1999272290933135e-05,2.8986507439190896e-06,2.527353669821994e-06,0.0017898754380689511,0.0020011720063791605,0.0013376109815532136,0.000958397240217299,1.59432127802735e-05,1.7994582891817534e-05,1.109447605947339e-06,1.6088283997658596e-06,1.4069541621182902,1.377905409687872,-0.029048752430418153,-0.7911900306956666,-0.4400513221114059,5.942740443017104,6.110457104247523,0.10808597391903634,0.18173044150964432,0.19697220710167357,2.481108352760021e-06,2.481108352760021e-06
2,1.0,-15.0,0.005,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_02__compact.npz,results/franka_budget_transfer/traces/public24__case02__s1__f8n.npz,1.5,4.5,1500,0.004247951753624402,0.004411987608941221,0.00016403585531681898,1.5662015535512706e-05,1.7486405964157756e-05,2.3830785656079225e-06,1.979228697293121e-06,0.0017625963125098652,0.001995125797249645,0.0012849167232955776,0.0008961908937534299,1.2555269774639333e-05,1.3505879017306726e-05,7.320675798032777e-07,1.1760705792465492e-06,1.3757627825720158,1.3360889161851353,-0.039673866386880696,-0.8076503613013182,-0.4407598545905113,5.942907960008704,6.118341894235482,0.10993505830504048,0.1843915163385946,0.2033895623723835,1.4205405603302488e-06,1.4205405603302488e-06
2,2.0,-15.0,0.005,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_02__compact.npz,results/franka_budget_transfer/traces/public24__case02__s2__f8n.npz,1.5,4.5,1500,0.0046883719032997494,0.004915248098302194,0.00022687619500244473,1.9123054261033315e-05,2.1713830876789995e-05,2.8577768426171982e-06,2.4458329910733373e-06,0.0018074361478057055,0.002033639636979851,0.0013499470960649162,0.0009558364142628857,1.5856228832638587e-05,1.7578140703694457e-05,1.0354196804430983e-06,1.532209740242407e-06,1.4183608695536396,1.3894138679752328,-0.028947001578406763,-0.8029680820125115,-0.43698325471636307,5.94316348029403,6.118023138314159,0.11120084549661452,0.1837759013165788,0.20190064303262656,2.178832764212818e-06,2.178832764212818e-06
3,1.0,-15.0,0.005,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_03__compact.npz,results/franka_budget_transfer/traces/public24__case03__s1__f8n.npz,1.5,4.5,1500,0.004282285411078288,0.004476304841382358,0.0001940194303040703,1.5900968859710925e-05,1.797083687435495e-05,2.436999482223016e-06,2.066468158628195e-06,0.0017540832196913723,0.001972127489174472,0.0012784210506759494,0.0009026310522068528,1.2824160918108074e-05,1.4081550040797341e-05,8.026390994116166e-07,1.2517253422201456e-06,1.3707673258979867,1.3301029609140842,-0.04066436498390241,-0.7990632871922505,-0.44522346385086053,5.9427606077487365,6.111829229860887,0.10686492450129602,0.18201719497979182,0.19874787801769103,1.6993366910492018e-06,1.6993366910492018e-06
3,2.0,-15.0,0.005,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_03__compact.npz,results/franka_budget_transfer/traces/public24__case03__s2__f8n.npz,1.5,4.5,1500,0.004721756484236906,0.004983997671852291,0.0002622411876153849,1.9372623857423708e-05,2.2293717487613398e-05,2.9223604390095583e-06,2.5465153054156543e-06,0.0017975364220966098,0.0020106670503819072,0.0013431144091080763,0.0009612017513512872,1.6141486668659826e-05,1.8250935500121917e-05,1.1184041230558216e-06,1.622606498614872e-06,1.4136368397517225,1.3850415337095834,-0.028595306042139296,-0.7947266741416107,-0.4410566666944959,5.942853491328052,6.11177975414845,0.10794101237369305,0.18196848929948675,0.19818359341752773,2.5452484965957847e-06,2.5452484965957847e-06
4,1.0,-15.0,0.012,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_04__compact.npz,results/franka_budget_transfer/traces/public24__case04__s1__f8n.npz,1.5,4.5,1500,0.0042412828168510745,0.004406466783755473,0.00016518396690439873,1.555763170034399e-05,1.738901554488103e-05,2.430848232172194e-06,2.027933971459273e-06,0.001793798732006548,0.002026367461260464,0.0012955764112001081,0.0009062690369254911,1.2339917809395696e-05,1.3282850456825854e-05,7.523299949140416e-07,1.206610404169416e-06,1.3839688402313546,1.3461086034972258,-0.03786023673412863,-0.8091473008148252,-0.4422223632766784,5.942944425208963,6.118361124325183,0.10982171808870435,0.18407563455557235,0.2032183423058283,1.4284695838241201e-06,1.4284695838241201e-06
4,2.0,-15.0,0.012,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_04__compact.npz,results/franka_budget_transfer/traces/public24__case04__s2__f8n.npz,1.5,4.5,1500,0.004682858495437429,0.004910527585642679,0.00022766909020525018,1.9016540152132734e-05,2.161227106706345e-05,2.9126235361577647e-06,2.50101010229427e-06,0.0018388273846525556,0.0020653161089340933,0.0013615406477480818,0.0009666293836694877,1.5635254001584575e-05,1.7346740437240783e-05,1.0588306006874979e-06,1.5666377369210165e-06,1.4270571518322615,1.3997179356758294,-0.027339216156432086,-0.8047284137430123,-0.4385055274313549,5.943137033885759,6.1180819887634605,0.11119340048451624,0.18358074127549984,0.20183876734393863,2.184117481067224e-06,2.184117481067224e-06
5,1.0,-15.0,0.012,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_05__compact.npz,results/franka_budget_transfer/traces/public24__case05__s1__f8n.npz,1.5,4.5,1500,0.004274327985282121,0.004470627386911313,0.00019629940162919218,1.5782363166921163e-05,1.786971458596763e-05,2.4875165588447557e-06,2.1167946466338475e-06,0.0017853501407082036,0.002003510550622014,0.0012897937898003512,0.0009127694261720611,1.2594888041994358e-05,1.3855660059513906e-05,8.239485386372027e-07,1.2836466212793736e-06,1.3790949734616986,1.3401822922940598,-0.03891268116763867,-0.8010468662668452,-0.44674230923578134,5.942956528159968,6.112204008890688,0.10645438102931622,0.18143219620148857,0.19869634957487778,1.7166295068355564e-06,1.7166295068355564e-06
5,2.0,-15.0,0.012,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_05__compact.npz,results/franka_budget_transfer/traces/public24__case05__s2__f8n.npz,1.5,4.5,1500,0.0047196623380907025,0.004977641671771524,0.0002579793336808219,1.928915474114898e-05,2.2164061089988547e-05,2.986057844442817e-06,2.6128555225678634e-06,0.0018287643818815512,0.002041193283410679,0.0013562488269504142,0.0009751718507559556,1.5944775576710373e-05,1.7997591069747682e-05,1.1466469638384419e-06,1.6618953840610678e-06,1.4239022834591544,1.396324068545595,-0.02757821491355928,-0.7978938957669964,-0.44528315279499875,5.94254877682345,6.110934385306994,0.10876062203391482,0.18259972288871923,0.19769699816771097,2.501704026964614e-06,2.501704026964614e-06
