case_index,rotation_gain_scale,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,original_compatibility,reference_trace,candidate_trace,first_request_difference_s,first_velocity_difference_s,first_position_difference_s
0,1.0,-15.0,0.005,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_00__compact.npz,results/franka_budget_transfer/traces/public24__case00__s1__f8n.npz,1.794,1.796,1.796
0,2.0,-15.0,0.005,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_00__compact.npz,results/franka_budget_transfer/traces/public24__case00__s2__f8n.npz,1.776,1.778,1.778
1,1.0,-15.0,0.005,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_01__compact.npz,results/franka_budget_transfer/traces/public24__case01__s1__f8n.npz,1.788,1.79,1.79
1,2.0,-15.0,0.005,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_01__compact.npz,results/franka_budget_transfer/traces/public24__case01__s2__f8n.npz,1.774,1.776,1.776
2,1.0,-15.0,0.005,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_02__compact.npz,results/franka_budget_transfer/traces/public24__case02__s1__f8n.npz,1.788,1.79,1.79
2,2.0,-15.0,0.005,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_02__compact.npz,results/franka_budget_transfer/traces/public24__case02__s2__f8n.npz,1.774,1.776,1.776
3,1.0,-15.0,0.005,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_03__compact.npz,results/franka_budget_transfer/traces/public24__case03__s1__f8n.npz,1.788,1.79,1.79
3,2.0,-15.0,0.005,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_03__compact.npz,results/franka_budget_transfer/traces/public24__case03__s2__f8n.npz,1.774,1.776,1.776
4,1.0,-15.0,0.012,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_04__compact.npz,results/franka_budget_transfer/traces/public24__case04__s1__f8n.npz,1.788,1.79,1.79
4,2.0,-15.0,0.012,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_04__compact.npz,results/franka_budget_transfer/traces/public24__case04__s2__f8n.npz,1.774,1.776,1.776
5,1.0,-15.0,0.012,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_05__compact.npz,results/franka_budget_transfer/traces/public24__case05__s1__f8n.npz,1.78,1.782,1.782
5,2.0,-15.0,0.012,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_05__compact.npz,results/franka_budget_transfer/traces/public24__case05__s2__f8n.npz,1.774,1.776,1.776
6,1.0,-15.0,0.012,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_06__compact.npz,results/franka_budget_transfer/traces/public24__case06__s1__f8n.npz,1.786,1.788,1.788
6,2.0,-15.0,0.012,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_06__compact.npz,results/franka_budget_transfer/traces/public24__case06__s2__f8n.npz,1.772,1.774,1.774
7,1.0,-15.0,0.012,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,results/franka_budget_transfer/traces/public24__case07__s1__f8n.npz,1.78,1.782,1.782
7,2.0,-15.0,0.012,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_07__compact.npz,results/franka_budget_transfer/traces/public24__case07__s2__f8n.npz,1.774,1.776,1.776
8,1.0,0.0,0.005,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_08__compact.npz,results/franka_budget_transfer/traces/public24__case08__s1__f8n.npz,1.768,1.77,1.77
8,2.0,0.0,0.005,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_08__compact.npz,results/franka_budget_transfer/traces/public24__case08__s2__f8n.npz,1.758,1.76,1.76
9,1.0,0.0,0.005,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_09__compact.npz,results/franka_budget_transfer/traces/public24__case09__s1__f8n.npz,1.77,1.772,1.772
9,2.0,0.0,0.005,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_09__compact.npz,results/franka_budget_transfer/traces/public24__case09__s2__f8n.npz,1.762,1.764,1.764
10,1.0,0.0,0.005,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_10__compact.npz,results/franka_budget_transfer/traces/public24__case10__s1__f8n.npz,1.766,1.768,1.768
10,2.0,0.0,0.005,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_10__compact.npz,results/franka_budget_transfer/traces/public24__case10__s2__f8n.npz,1.756,1.758,1.758
11,1.0,0.0,0.005,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_11__compact.npz,results/franka_budget_transfer/traces/public24__case11__s1__f8n.npz,1.77,1.772,1.772
11,2.0,0.0,0.005,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_11__compact.npz,results/franka_budget_transfer/traces/public24__case11__s2__f8n.npz,1.746,1.748,1.748
12,1.0,0.0,0.012,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_12__compact.npz,results/franka_budget_transfer/traces/public24__case12__s1__f8n.npz,1.766,1.768,1.768
12,2.0,0.0,0.012,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_12__compact.npz,results/franka_budget_transfer/traces/public24__case12__s2__f8n.npz,1.754,1.756,1.756
13,1.0,0.0,0.012,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_13__compact.npz,results/franka_budget_transfer/traces/public24__case13__s1__f8n.npz,1.77,1.772,1.772
13,2.0,0.0,0.012,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_13__compact.npz,results/franka_budget_transfer/traces/public24__case13__s2__f8n.npz,1.764,1.766,1.766
14,1.0,0.0,0.012,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_14__compact.npz,results/franka_budget_transfer/traces/public24__case14__s1__f8n.npz,1.766,1.768,1.768
14,2.0,0.0,0.012,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_14__compact.npz,results/franka_budget_transfer/traces/public24__case14__s2__f8n.npz,1.754,1.756,1.756
15,1.0,0.0,0.012,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,results/franka_budget_transfer/traces/public24__case15__s1__f8n.npz,1.77,1.772,1.772
15,2.0,0.0,0.012,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_15__compact.npz,results/franka_budget_transfer/traces/public24__case15__s2__f8n.npz,1.762,1.764,1.764
16,1.0,15.0,0.005,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_16__compact.npz,results/franka_budget_transfer/traces/public24__case16__s1__f8n.npz,1.676,1.678,1.678
16,2.0,15.0,0.005,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_16__compact.npz,results/franka_budget_transfer/traces/public24__case16__s2__f8n.npz,1.6580000000000001,1.6600000000000001,1.6600000000000001
17,1.0,15.0,0.005,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_17__compact.npz,results/franka_budget_transfer/traces/public24__case17__s1__f8n.npz,1.678,1.68,1.68
17,2.0,15.0,0.005,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_17__compact.npz,results/franka_budget_transfer/traces/public24__case17__s2__f8n.npz,1.6560000000000001,1.6580000000000001,1.6580000000000001
18,1.0,15.0,0.005,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_18__compact.npz,results/franka_budget_transfer/traces/public24__case18__s1__f8n.npz,1.676,1.678,1.678
18,2.0,15.0,0.005,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_18__compact.npz,results/franka_budget_transfer/traces/public24__case18__s2__f8n.npz,1.6580000000000001,1.6600000000000001,1.6600000000000001
19,1.0,15.0,0.005,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_19__compact.npz,results/franka_budget_transfer/traces/public24__case19__s1__f8n.npz,1.678,1.68,1.68
19,2.0,15.0,0.005,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_19__compact.npz,results/franka_budget_transfer/traces/public24__case19__s2__f8n.npz,1.6560000000000001,1.6580000000000001,1.6580000000000001
20,1.0,15.0,0.012,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_20__compact.npz,results/franka_budget_transfer/traces/public24__case20__s1__f8n.npz,1.678,1.68,1.68
20,2.0,15.0,0.012,0.1,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_20__compact.npz,results/franka_budget_transfer/traces/public24__case20__s2__f8n.npz,1.6580000000000001,1.6600000000000001,1.6600000000000001
21,1.0,15.0,0.012,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_21__compact.npz,results/franka_budget_transfer/traces/public24__case21__s1__f8n.npz,1.678,1.68,1.68
21,2.0,15.0,0.012,0.1,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_21__compact.npz,results/franka_budget_transfer/traces/public24__case21__s2__f8n.npz,1.6560000000000001,1.6580000000000001,1.6580000000000001
22,1.0,15.0,0.012,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_22__compact.npz,results/franka_budget_transfer/traces/public24__case22__s1__f8n.npz,1.676,1.678,1.678
22,2.0,15.0,0.012,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_22__compact.npz,results/franka_budget_transfer/traces/public24__case22__s2__f8n.npz,1.6580000000000001,1.6600000000000001,1.6600000000000001
23,1.0,15.0,0.012,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_23__compact.npz,results/franka_budget_transfer/traces/public24__case23__s1__f8n.npz,1.678,1.68,1.68
23,2.0,15.0,0.012,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_23__compact.npz,results/franka_budget_transfer/traces/public24__case23__s2__f8n.npz,1.6560000000000001,1.6580000000000001,1.6580000000000001
