case_index,rotation_gain_scale,max_force_n,velocity_error_time_s,trace_path,row_origin,window,start_s,end_s,samples,tangent_rmse_mm,tangent_velocity_error_rms_m_s,positive_along_lag_area_mm_s,max_positive_along_lag_mm,first_100ms_within_1mm_s
23,1.0,6.0,0.05,results/franka_onset_observer/traces/case23__s1__f6n.npz,pinned_reference,onset,1.5,2.0,250,2.6342475816664987,0.009596272694867734,1.1839630173992148,3.630904911591767,
23,1.0,6.0,0.05,results/franka_onset_observer/traces/case23__s1__f6n.npz,pinned_reference,whole,1.5,4.5,1500,1.3664138393386482,0.0041824288240901565,2.261485013588485,3.630904911591767,1.9080000000000001
23,1.0,6.0,0.1,traces/case23__s1__f6n__tv100ms.npz,executed,onset,1.5,2.0,250,2.6292834546687116,0.009551122052375058,1.1820622871851745,3.6267620972172745,
23,1.0,6.0,0.1,traces/case23__s1__f6n__tv100ms.npz,executed,whole,1.5,4.5,1500,1.3640265508034488,0.004162216830074519,2.2942780607523643,3.6267620972172745,1.9080000000000001
23,1.0,8.0,0.05,results/franka_onset_observer/traces/case23__s1__f8n.npz,pinned_reference,onset,1.5,2.0,250,2.603447256612034,0.010300597265429416,1.13779472961553,3.630904911591767,1.8840000000000001
23,1.0,8.0,0.05,results/franka_onset_observer/traces/case23__s1__f8n.npz,pinned_reference,whole,1.5,4.5,1500,1.3626841871345674,0.004476518167267335,1.5457168162212453,3.630904911591767,1.8840000000000001
23,1.0,8.0,0.1,traces/case23__s1__f8n__tv100ms.npz,executed,onset,1.5,2.0,250,2.6063821004256367,0.00998402659411464,1.151131705522564,3.6267620972172745,1.8900000000000001
23,1.0,8.0,0.1,traces/case23__s1__f8n__tv100ms.npz,executed,whole,1.5,4.5,1500,1.3509714392983134,0.004340592049880949,1.7459968300449282,3.6267620972172745,1.8900000000000001
23,2.0,6.0,0.05,results/franka_onset_observer/traces/case23__s2__f6n.npz,pinned_reference,onset,1.5,2.0,250,2.7731106581514933,0.010915868773617653,1.2294201208726527,3.8427587312201585,
23,2.0,6.0,0.05,results/franka_onset_observer/traces/case23__s2__f6n.npz,pinned_reference,whole,1.5,4.5,1500,1.4215684298752862,0.004691149632688309,2.257411548888513,3.8427587312201585,1.9020000000000001
23,2.0,6.0,0.1,traces/case23__s2__f6n__tv100ms.npz,executed,onset,1.5,2.0,250,2.7678431454552292,0.010830591902690909,1.2284617841321175,3.8368235733375173,
23,2.0,6.0,0.1,traces/case23__s2__f6n__tv100ms.npz,executed,whole,1.5,4.5,1500,1.4179878527465077,0.004654859265127274,2.3108356245097266,3.8368235733375173,1.9020000000000001
23,2.0,8.0,0.05,results/franka_onset_observer/traces/case23__s2__f8n.npz,pinned_reference,onset,1.5,2.0,250,2.7331065530930925,0.011762101180495522,1.1687260571951679,3.8427587312201585,1.8780000000000001
23,2.0,8.0,0.05,results/franka_onset_observer/traces/case23__s2__f8n.npz,pinned_reference,whole,1.5,4.5,1500,1.4223958968873918,0.0050480220005276666,1.5988266629049759,3.8427587312201585,1.8780000000000001
23,2.0,8.0,0.1,traces/case23__s2__f8n__tv100ms.npz,executed,onset,1.5,2.0,250,2.73123221417448,0.011424199543592922,1.1796178154017871,3.8368235733375173,1.8820000000000001
23,2.0,8.0,0.1,traces/case23__s2__f8n__tv100ms.npz,executed,whole,1.5,4.5,1500,1.4066066675230113,0.0048968404802443005,1.773610552019881,3.8368235733375173,1.8820000000000001
