controller,scenario,force_rmse_n,peak_force_n,y_rmse_mm,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us
position,nominal,5.033330029686489,32.90834025503181,27.30403182395533,100.0,9.640374113548237,0.0,1.956
impedance,nominal,8.416309807064485,21.715521047224666,12.214198043770951,100.0,2.405929170387338,0.0,1.9
admittance,nominal,1.4575095126250435,39.06744283617101,12.050902436860135,100.0,7.413611851106385,0.0,7.09305
hybrid,nominal,1.467678856134712,81.52915472474628,11.452270855021563,100.0,7.772540947559827,0.0,6.80315
position,stiff_wall,5.089412391614544,46.235023842306745,27.39851703950449,100.0,9.649107237293125,0.0,1.949
impedance,stiff_wall,8.418012289596309,30.386090618179402,12.223298657628252,100.0,2.406472705939461,0.0,1.9721499999999998
admittance,stiff_wall,1.474431454577462,54.08818403669991,12.06675515091094,100.0,7.414970140040847,0.0,7.1850499999999995
hybrid,stiff_wall,1.456645890926986,114.22556745895206,11.51259452976015,100.0,7.800274892852183,0.0,7.056
position,noisy_delay,5.107930981325517,45.72008157736373,26.660563173640675,100.0,9.621744294925197,0.0,1.9780499999999999
impedance,noisy_delay,8.43136583417998,30.127908445727627,11.304289493120871,100.0,2.434303832941344,0.0,2.037
admittance,noisy_delay,1.6821277845043512,49.707531133355864,10.828604686305729,100.0,7.34038861615623,0.0,7.34615
hybrid,noisy_delay,1.4083929627257967,100.42717663378588,10.060678131719072,100.0,7.684502185480918,0.0,7.25845
